Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
OBČINA HODOŠ,OBČINA HODOŠ,obcina-hodos-kozseg@siol.net,"Hodoš 52, 9205 Hodoš - Hodos",", OBČINA HODOŠ"
OBČINA DOBJE,OBČINA DOBJE,info@dobje.si,"Dobje pri Planini 26, 3224 Dobje pri Planini",", OBČINA DOBJE"
OBČINA HAJDINA,OBČINA HAJDINA,uprava@hajdina.si,"Zgornja Hajdina 44 A, 2288 Hajdina",", OBČINA HAJDINA"
OBČINA BISTRICA OB SOTLI,OBČINA BISTRICA OB SOTLI,obcina@bistricaobsotli.si,"Bistrica ob Sotli 17, 3256 Bistrica ob Sotli",", OBČINA BISTRICA OB SOTLI"
OBČINA MARKOVCI,OBČINA MARKOVCI,tajnistvo@markovci.si,"Markovci 43, 2281 Markovci",", OBČINA MARKOVCI"
OBČINA OPLOTNICA,OBČINA OPLOTNICA,obcina.oplotnica@siol.net,"Goriška cesta 4, 2317 Oplotnica",", OBČINA OPLOTNICA"
OBČINA BRASLOVČE,OBČINA BRASLOVČE,obcina@braslovce.si,"Braslovče 22, 3314 Braslovče",", OBČINA BRASLOVČE"
OBČINA POLZELA,OBČINA POLZELA,obcina.polzela@polzela.si,"Malteška cesta 28, 3313 Polzela",", OBČINA POLZELA"
OBČINA PREBOLD,OBČINA PREBOLD,obcina@obcinaprebold.si,"Hmeljarska cesta 3, 3312 Prebold",", OBČINA PREBOLD"
OBČINA PREVALJE,OBČINA PREVALJE,obcina@prevalje.si,"Trg 2 A, 2391 Prevalje",", OBČINA PREVALJE"
OBČINA TABOR,OBČINA TABOR,info@obcina-tabor.si,"Tabor 21, 3304 Tabor",", OBČINA TABOR"
OBČINA VRANSKO,OBČINA VRANSKO,obcina.vransko@vransko.si,"Vransko 59, 3305 Vransko",", OBČINA VRANSKO"
OBČINA MIRNA PEČ,OBČINA MIRNA PEČ,obcina.mirnapec@siol.net,"Trg 2, 8216 Mirna Peč",", OBČINA MIRNA PEČ"
OBČINA LOVRENC NA POHORJU,OBČINA LOVRENC NA POHORJU,obcina@lovrenc.si,"Spodnji trg 8, 2344 Lovrenc na Pohorju",", OBČINA LOVRENC NA POHORJU"
OBČINA SELNICA OB DRAVI,OBČINA SELNICA OB DRAVI,info@selnica.si,"Slovenski trg 4, 2352 Selnica ob Dravi",", OBČINA SELNICA OB DRAVI"
OBČINA ŽETALE,OBČINA ŽETALE,info.zetale@zetale.si,"Žetale 4, 2287 Žetale",", OBČINA ŽETALE"
OBČINA TRNOVSKA VAS,OBČINA TRNOVSKA VAS,tajnistvo@trnovska-vas.si,"Trnovska vas 42, 2254 Trnovska vas",", OBČINA TRNOVSKA VAS"
Občina Sveti Andraž v Slovenskih goricah,Občina Sveti Andraž v Slovenskih goricah,info@sv-andraz.si,"Vitomarci 71, 2255 Vitomarci",", Občina Sveti Andraž v Slovenskih goricah"
OBČINA SODRAŽICA,OBČINA SODRAŽICA,obcina@sodrazica.si,"Trg 25. maja 3, 1317 Sodražica",", OBČINA SODRAŽICA"
OBČINA ŠEMPETER - VRTOJBA,OBČINA ŠEMPETER - VRTOJBA,info@sempeter-vrtojba.si,"Trg Ivana Roba 3 A, 5290 Šempeter pri Gorici",", OBČINA ŠEMPETER - VRTOJBA"
OBČINA PODLEHNIK,OBČINA PODLEHNIK,obcina.podlehnik@podlehnik.si,"Podlehnik 9, 2286 Podlehnik",", OBČINA PODLEHNIK"
OBČINA RIBNICA NA POHORJU,OBČINA RIBNICA NA POHORJU,obcina@ribnicanapohorju.si,"Ribnica na Pohorju 1, 2364 Ribnica na Pohorju",", OBČINA RIBNICA NA POHORJU"
OBČINA ŽUŽEMBERK,OBČINA ŽUŽEMBERK,obcina.zuzemberk@zuzemberk.si,"Grajski trg 33, 8360 Žužemberk",", OBČINA ŽUŽEMBERK"
OBČINA BLOKE,OBČINA BLOKE,obcina.bloke@bloke.si,"Nova vas 4 A, 1385 Nova Vas",", OBČINA BLOKE"
OBČINA TRZIN,OBČINA TRZIN,info@trzin.si,"Mengeška cesta 22, 1236 Trzin",", OBČINA TRZIN"
OBČINA DOBRNA,OBČINA DOBRNA,obcina@dobrna.si,"Dobrna 19, 3204 Dobrna",", OBČINA DOBRNA"
OBČINA HOČE - SLIVNICA,OBČINA HOČE - SLIVNICA,obcina@hoce-slivnica.si,"Pohorska cesta 15, 2311 Hoče",", OBČINA HOČE - SLIVNICA"
OBČINA MIKLAVŽ NA DRAVSKEM POLJU,OBČINA MIKLAVŽ NA DRAVSKEM POLJU,obcina.miklavz@miklavz.si,"Nad izviri 6, 2204 Miklavž na Dravskem polju",", OBČINA MIKLAVŽ NA DRAVSKEM POLJU"
OBČINA GRAD,OBČINA GRAD,tajnistvo@obcina-grad.si,"Grad 172, 9264 Grad",", OBČINA GRAD"
OBČINA DOLENJSKE TOPLICE,OBČINA DOLENJSKE TOPLICE,obcina@dolenjske-toplice.si,"Sokolski trg 4, 8350 Dolenjske Toplice",", OBČINA DOLENJSKE TOPLICE"
OBČINA CANKOVA,OBČINA CANKOVA,tajnistvo@obcina-cankova.si,"Cankova 25, 9261 Cankova",", OBČINA CANKOVA"
OBČINA SOLČAVA,OBČINA SOLČAVA,obcina@solcava.si,"Solčava 29, 3335 Solčava",", OBČINA SOLČAVA"
OBČINA ŠMARTNO PRI LITIJI,OBČINA ŠMARTNO PRI LITIJI,info@smartno-litija.si,"Tomazinova ulica 2, 1275 Šmartno pri Litiji",", OBČINA ŠMARTNO PRI LITIJI"
OBČINA KOSTANJEVICA NA KRKI,OBČINA KOSTANJEVICA NA KRKI,obcina@kostanjevica.si,"Ljubljanska cesta 7, 8311 Kostanjevica na Krki",", OBČINA KOSTANJEVICA NA KRKI"
OBČINA RENČE - VOGRSKO,OBČINA RENČE - VOGRSKO,info@rence-vogrsko.si,"Bukovica 43, 5293 Volčja Draga",", OBČINA RENČE - VOGRSKO"
OBČINA GORJE,OBČINA GORJE,obcina.gorje@gorje.si,"Zgornje Gorje 6 B, 4247 Zgornje Gorje",", OBČINA GORJE"
OBČINA APAČE,OBČINA APAČE,info@obcina-apace.si,"Apače 42 B, 9253 Apače",", OBČINA APAČE"
OBČINA STRAŽA,OBČINA STRAŽA,info@obcina-straza.si,"Ulica talcev 9, 8351 Straža pri Novem mestu",", OBČINA STRAŽA"
OBČINA ŠENTRUPERT,OBČINA ŠENTRUPERT,obcina@sentrupert.si,"Šentrupert 33, 8232 Šentrupert",", OBČINA ŠENTRUPERT"
OBČINA ŠMARJEŠKE TOPLICE,OBČINA ŠMARJEŠKE TOPLICE,info@smarjeske-toplice.si,"Šmarjeta 66, 8220 Šmarješke Toplice",", OBČINA ŠMARJEŠKE TOPLICE"
OBČINA MOKRONOG - TREBELNO,OBČINA MOKRONOG - TREBELNO,obcina@mokronog-trebelno.si,"Pod gradom 2, 8230 Mokronog",", OBČINA MOKRONOG - TREBELNO"
OBČINA POLJČANE,OBČINA POLJČANE,obcina@poljcane.si,"Bistriška cesta 65, 2319 Poljčane",", OBČINA POLJČANE"
OBČINA MAKOLE,OBČINA MAKOLE,obcina@obcina-makole.si,"Makole 35, 2321 Makole",", OBČINA MAKOLE"
OBČINA SVETI TOMAŽ,OBČINA SVETI TOMAŽ,obcina@sv-tomaz.si,"Sveti Tomaž 37, 2258 Sv.Tomaž",", OBČINA SVETI TOMAŽ"
OBČINA CIRKULANE,OBČINA CIRKULANE,tajnistvo@cirkulane.si,"Cirkulane 58, 2282 Cirkulane",", OBČINA CIRKULANE"
OBČINA SREDIŠČE OB DRAVI,OBČINA SREDIŠČE OB DRAVI,obcina.sredisce.ob.dravi@siol.net,"Trg talcev 4, 2277 Središče ob Dravi",", OBČINA SREDIŠČE OB DRAVI"
OBČINA SVETA TROJICA V SLOVENSKIH GORICAH,OBČINA SVETA TROJICA V SLOVENSKIH GORICAH,obcina.sv.trojica@siol.net,"Mariborska cesta 1, 2235 Sv. Trojica v Slov. goricah",", OBČINA SVETA TROJICA V SLOVENSKIH GORICAH"
OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,obcina@obcinajurij.si,"Jurovski Dol 70 B, 2223 Jurovski Dol",", OBČINA SVETI JURIJ V SLOVENSKIH GORICAH"
OBČINA REČICA OB SAVINJI,OBČINA REČICA OB SAVINJI,tajnistvo@obcina-recica.si,"Rečica ob Savinji 55, 3332 Rečica ob Savinji",", OBČINA REČICA OB SAVINJI"
OBČINA LOG - DRAGOMER,OBČINA LOG - DRAGOMER,obcina@log-dragomer.si,"Na Grivi 5, 1351 Brezovica pri Ljubljani",", OBČINA LOG - DRAGOMER"
OBČINA MIRNA,OBČINA MIRNA,obcina@mirna.si,"Glavna cesta 28, 8233 Mirna",", OBČINA MIRNA"
OBČINA ANKARAN,OBČINA ANKARAN,info@obcina-ankaran.si,"Jadranska cesta 66, 6280 Ankaran - Ancarano",", OBČINA ANKARAN"
MESTNA OBČINA LJUBLJANA,MESTNA OBČINA LJUBLJANA,glavna.pisarna@ljubljana.si,"Mestni trg 1, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA"
OBČINA LJUTOMER,OBČINA LJUTOMER,obcina.ljutomer@ljutomer.si,"Vrazova ulica 1, 9240 Ljutomer",", OBČINA LJUTOMER"
OBČINA DOL PRI LJUBLJANI,OBČINA DOL PRI LJUBLJANI,obcina@dol.si,"Dol pri Ljubljani 1, 1262 Dol pri Ljubljani",", OBČINA DOL PRI LJUBLJANI"
OBČINA IZOLA,OBČINA IZOLA,posta.oizola@izola.si,"Sončno nabrežje 8, 6310 Izola - Isola",", OBČINA IZOLA"
OBČINA OSILNICA,OBČINA OSILNICA,obcina@osilnica.si,"Osilnica 11, 1337 Osilnica",", OBČINA OSILNICA"
OBČINA KOČEVJE,OBČINA KOČEVJE,obcina@kocevje.si,"Ljubljanska cesta 26, 1330 Kočevje",", OBČINA KOČEVJE"
OBČINA LITIJA,OBČINA LITIJA,obcina.litija@litija.si,"Jerebova ulica 14, 1270 Litija",", OBČINA LITIJA"
OBČINA LENART,OBČINA LENART,obcina@lenart.si,"Trg osvoboditve 7, 2230 Lenart v Slov. goricah",", OBČINA LENART"
OBČINA KRANJSKA GORA,OBČINA KRANJSKA GORA,obcina@kranjska-gora.si,"Kolodvorska ulica 1 B, 4280 Kranjska Gora",", OBČINA KRANJSKA GORA"
OBČINA JESENICE,OBČINA JESENICE,obcina.jesenice@jesenice.si,"Cesta železarjev 6, 4270 Jesenice",", OBČINA JESENICE"
MESTNA OBČINA KOPER,MESTNA OBČINA KOPER,obcina@koper.si,"Verdijeva ulica 10, 6000 Koper - Capodistria",", MESTNA OBČINA KOPER"
OBČINA KAMNIK,OBČINA KAMNIK,obcina@kamnik.si,"Glavni trg 24, 1241 Kamnik",", OBČINA KAMNIK"
OBČINA RADEČE,OBČINA RADEČE,info@radece.si,"Ulica Milana Majcna 1, 1433 Radeče",", OBČINA RADEČE"
OBČINA LAŠKO,OBČINA LAŠKO,obcina@lasko.si,"Mestna ulica 2, 3270 Laško",", OBČINA LAŠKO"
OBČINA MEDVODE,OBČINA MEDVODE,obcina@medvode.si,"Cesta komandanta Staneta 12, 1215 Medvode",", OBČINA MEDVODE"
OBČINA KRŠKO,OBČINA KRŠKO,obcina.krsko@krsko.si,"Cesta krških žrtev 14, 8270 Krško",", OBČINA KRŠKO"
OBČINA PREDDVOR,OBČINA PREDDVOR,obcina.preddvor@siol.net,"Dvorski trg 10, 4205 Preddvor",", OBČINA PREDDVOR"
OBČINA ŠKOFLJICA,OBČINA ŠKOFLJICA,obcina@obcina.skofljica.si,"Šmarska cesta 3, 1291 Škofljica",", OBČINA ŠKOFLJICA"
OBČINA VODICE,OBČINA VODICE,obcina@vodice.si,"Kopitarjev trg 1, 1217 Vodice",", OBČINA VODICE"
OBČINA LENDAVA - LENDVA KÖZSEG,OBČINA LENDAVA - LENDVA KÖZSEG,obcina@lendava.si,"Glavna ulica 20, 9220 Lendava - Lendva",", OBČINA LENDAVA - LENDVA KÖZSEG"
MESTNA OBČINA KRANJ,MESTNA OBČINA KRANJ,obcina.kranj@kranj.si,"Slovenski trg 1, 4000 Kranj",", MESTNA OBČINA KRANJ"
OBČINA LOGATEC,OBČINA LOGATEC,obcina.logatec@logatec.si,"Tržaška cesta 50 A, 1370 Logatec",", OBČINA LOGATEC"
OBČINA CERKLJE NA GORENJSKEM,OBČINA CERKLJE NA GORENJSKEM,obcinacerklje@siol.net,"Trg Davorina Jenka 13, 4207 Cerklje na Gorenjskem",", OBČINA CERKLJE NA GORENJSKEM"
OBČINA NAKLO,OBČINA NAKLO,glavna.pisarna@obcina-naklo.si,"Stara cesta 61, 4202 Naklo",", OBČINA NAKLO"
OBČINA ŠENČUR,OBČINA ŠENČUR,obcina@sencur.si,"Kranjska cesta 11, 4208 Šenčur",", OBČINA ŠENČUR"
OBČINA TURNIŠČE,OBČINA TURNIŠČE,obcina@turnisce.si,"Ulica Štefana Kovača 73, 9224 Turnišče",", OBČINA TURNIŠČE"
OBČINA ODRANCI,OBČINA ODRANCI,obcina.odranci@siol.net,"Panonska ulica 33, 9233 Odranci",", OBČINA ODRANCI"
OBČINA ČRENŠOVCI,OBČINA ČRENŠOVCI,info@obcina-crensovci.si,,", OBČINA ČRENŠOVCI"
OBČINA KOBILJE,OBČINA KOBILJE,obcina@kobilje.si,"Kobilje 56, 9227 Kobilje",", OBČINA KOBILJE"
OBČINA IG,OBČINA IG,info@obcina-ig.si,"Govekarjeva cesta 6, 1292 Ig",", OBČINA IG"
OBČINA VELIKE LAŠČE,OBČINA VELIKE LAŠČE,obcina.velike-lasce@siol.net,"Levstikov trg 1, 1315 Velike Lašče",", OBČINA VELIKE LAŠČE"
OBČINA BREZOVICA,OBČINA BREZOVICA,info@brezovica.si,"Tržaška cesta 390, 1351 Brezovica pri Ljubljani",", OBČINA BREZOVICA"
OBČINA DOBROVA-POLHOV GRADEC,OBČINA DOBROVA-POLHOV GRADEC,info@dobrova-polhovgradec.si,"Stara cesta 13, 1356 Dobrova",", OBČINA DOBROVA-POLHOV GRADEC"
OBČINA AJDOVŠČINA,OBČINA AJDOVŠČINA,obcina@ajdovscina.si,"Cesta 5. maja 6 A, 5270 Ajdovščina",", OBČINA AJDOVŠČINA"
OBČINA VIPAVA,OBČINA VIPAVA,obcina.vipava@siol.net,"Glavni trg 15, 5271 Vipava",", OBČINA VIPAVA"
OBČINA IDRIJA,OBČINA IDRIJA,obcina.idrija@idrija.si,"Mestni trg 1, 5280 Idrija",", OBČINA IDRIJA"
OBČINA CERKNO,OBČINA CERKNO,obcina@cerkno.si,"Bevkova ulica 9, 5282 Cerkno",", OBČINA CERKNO"
OBČINA CERKNICA,OBČINA CERKNICA,obcina@cerknica.si,"Cesta 4. maja 53, 1380 Cerknica",", OBČINA CERKNICA"
OBČINA LOŠKA DOLINA,OBČINA LOŠKA DOLINA,obcina@loskadolina.si,"Cesta Notranjskega odreda 2, 1386 Stari trg pri Ložu",", OBČINA LOŠKA DOLINA"
OBČINA BREŽICE,OBČINA BREŽICE,obcina.brezice@brezice.si,"Cesta prvih borcev 18, 8250 Brežice",", OBČINA BREŽICE"
OBČINA HRASTNIK,OBČINA HRASTNIK,obcina.hrastnik@hrastnik.si,"Pot Vitka Pavliča 5, 1430 Hrastnik",", OBČINA HRASTNIK"
OBČINA ČRNOMELJ,OBČINA ČRNOMELJ,obcina.crnomelj@siol.net,"Trg svobode 3, 8340 Črnomelj",", OBČINA ČRNOMELJ"
OBČINA SEMIČ,OBČINA SEMIČ,obcina@semic.si,"Štefanov trg 9, 8333 Semič",", OBČINA SEMIČ"
OBČINA GORNJA RADGONA,OBČINA GORNJA RADGONA,tajnistvo.zupana@gor-radgona.si,"Partizanska cesta 13, 9250 Gornja Radgona",", OBČINA GORNJA RADGONA"
OBČINA RADENCI,OBČINA RADENCI,obcina@radenci.si,"Radgonska cesta 9, 9252 Radenci",", OBČINA RADENCI"
OBČINA SVETI JURIJ OB ŠČAVNICI,OBČINA SVETI JURIJ OB ŠČAVNICI,obcina@sveti-jurij.si,"Ulica Bratka Krefta 14, 9244 Sveti Jurij ob Ščavnici",", OBČINA SVETI JURIJ OB ŠČAVNICI"
OBČINA DRAVOGRAD,OBČINA DRAVOGRAD,obcina@dravograd.si,"Trg 4. julija 7, 2370 Dravograd",", OBČINA DRAVOGRAD"
MESTNA OBČINA CELJE,MESTNA OBČINA CELJE,mestna.obcina.celje@celje.si,"Trg celjskih knezov 9, 3000 Celje",", MESTNA OBČINA CELJE"
OBČINA ŠTORE,OBČINA ŠTORE,tajnistvo@store.si,"Cesta XIV. divizije 15, 3220 Štore",", OBČINA ŠTORE"
OBČINA VOJNIK,OBČINA VOJNIK,obcina@vojnik.si,"Keršova ulica 8, 3212 Vojnik",", OBČINA VOJNIK"
OBČINA ILIRSKA BISTRICA,OBČINA ILIRSKA BISTRICA,obcina.ilirska-bistrica@ilirska-bistrica.si,"Bazoviška cesta 14, 6250 Ilirska Bistrica",", OBČINA ILIRSKA BISTRICA"
OBČINA MENGEŠ,OBČINA MENGEŠ,obcina.menges@menges.si,"Slovenska cesta 30, 1234 Mengeš",", OBČINA MENGEŠ"
OBČINA LUKOVICA,OBČINA LUKOVICA,obcina.lukovica@lukovica.si,"Stari trg 1, 1225 Lukovica",", OBČINA LUKOVICA"
OBČINA MORAVČE,OBČINA MORAVČE,obcina@moravce.si,"Trg svobode 4, 1251 Moravče",", OBČINA MORAVČE"
OBČINA DOMŽALE,OBČINA DOMŽALE,obcina@domzale.si,"Ljubljanska cesta 69, 1230 Domžale",", OBČINA DOMŽALE"
OBČINA GROSUPLJE,OBČINA GROSUPLJE,info@grosuplje.si,"Taborska cesta 2, 1290 Grosuplje",", OBČINA GROSUPLJE"
OBČINA METLIKA,OBČINA METLIKA,obcina.metlika@siol.net,"Mestni trg 24, 8330 Metlika",", OBČINA METLIKA"
OBČINA TOLMIN,OBČINA TOLMIN,info@tolmin.si,"Ulica padlih borcev 2, 5220 Tolmin",", OBČINA TOLMIN"
OBČINA KOBARID,OBČINA KOBARID,obcina@kobarid.si,"Trg svobode 2, 5222 Kobarid",", OBČINA KOBARID"
OBČINA BOVEC,OBČINA BOVEC,obcina.tajnik@bovec.si,"Trg golobarskih žrtev 8, 5230 Bovec",", OBČINA BOVEC"
OBČINA ŽALEC,OBČINA ŽALEC,glavna.pisarna@zalec.si,"Ulica Savinjske čete 5, 3310 Žalec",", OBČINA ŽALEC"
OBČINA PODVELKA,OBČINA PODVELKA,obcina@podvelka.si,"Podvelka 13, 2363 Podvelka",", OBČINA PODVELKA"
OBČINA MUTA,OBČINA MUTA,obcina.muta@muta.si,"Glavni trg 17, 2366 Muta",", OBČINA MUTA"
OBČINA VUZENICA,OBČINA VUZENICA,obcina.vuzenica@siol.net,,", OBČINA VUZENICA"
MESTNA OBČINA NOVA GORICA,MESTNA OBČINA NOVA GORICA,mestna.obcina@nova-gorica.si,"Trg Edvarda Kardelja 1, 5000 Nova Gorica",", MESTNA OBČINA NOVA GORICA"
OBČINA BRDA,OBČINA BRDA,info@obcina-brda.si,"Trg 25. maja 2, 5212 Dobrovo v Brdih",", OBČINA BRDA"
OBČINA RADLJE OB DRAVI,OBČINA RADLJE OB DRAVI,obcina.radlje@radlje.si,"Mariborska cesta 7, 2360 Radlje ob Dravi",", OBČINA RADLJE OB DRAVI"
OBČINA KANAL OB SOČI,OBČINA KANAL OB SOČI,obcina.kanal@obcina-kanal.si,"Trg svobode 23, 5213 Kanal",", OBČINA KANAL OB SOČI"
OBČINA MIREN - KOSTANJEVICA,OBČINA MIREN - KOSTANJEVICA,tajnistvo@miren-kostanjevica.si,"Miren 137, 5291 Miren",", OBČINA MIREN - KOSTANJEVICA"
OBČINA TRBOVLJE,OBČINA TRBOVLJE,obcina.trbovlje@trbovlje.si,"Mestni trg 4, 1420 Trbovlje",", OBČINA TRBOVLJE"
OBČINA TREBNJE,OBČINA TREBNJE,obcina.trebnje@trebnje.si,"Goliev trg 5, 8210 Trebnje",", OBČINA TREBNJE"
OBČINA DESTRNIK,OBČINA DESTRNIK,obcina.destrnik@destrnik.si,"Vintarovci 50, 2253 Destrnik",", OBČINA DESTRNIK"
OBČINA DIVAČA,OBČINA DIVAČA,obcina@divaca.si,"Kolodvorska ulica 3 A, 6215 Divača",", OBČINA DIVAČA"
OBČINA SEVNICA,OBČINA SEVNICA,obcina.sevnica@siol.net,"Glavni trg 19 A, 8290 Sevnica",", OBČINA SEVNICA"
OBČINA BELTINCI,OBČINA BELTINCI,obcina@beltinci.si,"Mladinska ulica 2, 9231 Beltinci",", OBČINA BELTINCI"
OBČINA HRPELJE - KOZINA,OBČINA HRPELJE - KOZINA,obcina.hrpelje-kozina@hrpelje.si,"Reška cesta 14, 6240 Kozina",", OBČINA HRPELJE - KOZINA"
OBČINA TIŠINA,OBČINA TIŠINA,obcina@tisina.si,"Tišina 4, 9251 Tišina",", OBČINA TIŠINA"
OBČINA GORNJI PETROVCI,OBČINA GORNJI PETROVCI,obcinagp@gornji-petrovci.si,"Gornji Petrovci 31 D, 9203 Petrovci",", OBČINA GORNJI PETROVCI"
OBČINA KOMEN,OBČINA KOMEN,obcina@komen.si,"Komen 86, 6223 Komen",", OBČINA KOMEN"
OBČINA ŠALOVCI,OBČINA ŠALOVCI,info@salovci.si,"Šalovci 162, 9204 Šalovci",", OBČINA ŠALOVCI"
OBČINA KUZMA,OBČINA KUZMA,obcina.kuzma@moj.net,"Kuzma 60 C, 9263 Kuzma",", OBČINA KUZMA"
OBČINA ŽELEZNIKI,OBČINA ŽELEZNIKI,uprava@obcina.zelezniki.si,"Češnjica 48, 4228 Železniki",", OBČINA ŽELEZNIKI"
OBČINA MORAVSKE TOPLICE,OBČINA MORAVSKE TOPLICE,obcina@moravske-toplice.si,"Kranjčeva ulica 3, 9226 Moravske Toplice",", OBČINA MORAVSKE TOPLICE"
MESTNA OBČINA MURSKA SOBOTA,MESTNA OBČINA MURSKA SOBOTA,mestna.obcina@murska-sobota.si,"Kardoševa ulica 2, 9000 Murska Sobota",", MESTNA OBČINA MURSKA SOBOTA"
OBČINA STARŠE,OBČINA STARŠE,obcina@starse.si,"Starše 93, 2205 Starše",", OBČINA STARŠE"
OBČINA ŽIRI,OBČINA ŽIRI,obcina.ziri@ziri.si,"Loška cesta 1, 4226 Žiri",", OBČINA ŽIRI"
OBČINA PUCONCI,OBČINA PUCONCI,obcina.puconci@puconci.si,"Puconci 80, 9201 Puconci",", OBČINA PUCONCI"
OBČINA ROGAŠOVCI,OBČINA ROGAŠOVCI,obcina.rogasovci@siol.net,"Rogašovci 14 B, 9262 Rogašovci",", OBČINA ROGAŠOVCI"
OBČINA RAČE-FRAM,OBČINA RAČE-FRAM,info@race-fram.si,"Grajski trg 14, 2327 Rače",", OBČINA RAČE-FRAM"
OBČINA GORENJA VAS-POLJANE,OBČINA GORENJA VAS-POLJANE,info@obcina-gvp.si,"Poljanska cesta 87, 4224 Gorenja vas",", OBČINA GORENJA VAS-POLJANE"
MESTNA OBČINA NOVO MESTO,MESTNA OBČINA NOVO MESTO,mestna.obcina@novomesto.si,"Seidlova cesta 1, 8000 Novo mesto",", MESTNA OBČINA NOVO MESTO"
OBČINA ŠKOCJAN,OBČINA ŠKOCJAN,info@obcina-skocjan.si,"Škocjan 67, 8275 Škocjan",", OBČINA ŠKOCJAN"
OBČINA DUPLEK,OBČINA DUPLEK,obcina.duplek@duplek.si,"Cesta 4. julija 106, 2241 Spodnji Duplek",", OBČINA DUPLEK"
OBČINA ŠKOFJA LOKA,OBČINA ŠKOFJA LOKA,obcina@skofjaloka.si,"Mestni trg 15, 4220 Škofja Loka",", OBČINA ŠKOFJA LOKA"
OBČINA ŠENTJERNEJ,OBČINA ŠENTJERNEJ,sentjernej@siol.net,"Prvomajska cesta 3 A, 8310 Šentjernej",", OBČINA ŠENTJERNEJ"
OBČINA ZREČE,OBČINA ZREČE,info@zrece.eu,"Cesta na Roglo 13 B, 3214 Zreče",", OBČINA ZREČE"
MESTNA OBČINA MARIBOR,MESTNA OBČINA MARIBOR,mestna.obcina@maribor.si,"Ulica heroja Staneta 1, 2000 Maribor",", MESTNA OBČINA MARIBOR"
OBČINA ZAVRČ,OBČINA ZAVRČ,obcina.zavrc@siol.net,"Goričak 6, 2283 Zavrč",", OBČINA ZAVRČ"
OBČINA BOROVNICA,OBČINA BOROVNICA,obcina@borovnica.si,"Paplerjeva ulica 22, 1353 Borovnica",", OBČINA BOROVNICA"
OBČINA VRHNIKA,OBČINA VRHNIKA,obcina.vrhnika@vrhnika.si,"Tržaška cesta 1, 1360 Vrhnika",", OBČINA VRHNIKA"
OBČINA BOHINJ,OBČINA BOHINJ,obcina@bohinj.si,"Triglavska cesta 35, 4264 Bohinjska Bistrica",", OBČINA BOHINJ"
OBČINA VIDEM,OBČINA VIDEM,info@videm.si,"Videm pri Ptuju 54, 2284 Videm pri Ptuju",", OBČINA VIDEM"
OBČINA RADOVLJICA,OBČINA RADOVLJICA,obcina.radovljica@radovljica.si,"Gorenjska cesta 19, 4240 Radovljica",", OBČINA RADOVLJICA"
OBČINA POSTOJNA,OBČINA POSTOJNA,obcina@postojna.si,"Ljubljanska cesta 4, 6230 Postojna",", OBČINA POSTOJNA"
OBČINA BLED,OBČINA BLED,obcina@bled.si,"Cesta svobode 13, 4260 Bled",", OBČINA BLED"
