Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
GASILSKO REŠEVALNA SLUŽBA KRANJ,GASILSKO REŠEVALNA SLUŽBA KRANJ,info@gasilcikranj.si,"Bleiweisova cesta 34, 4000 Kranj",", GASILSKO REŠEVALNA SLUŽBA KRANJ"
DOM POČITKA MENGEŠ,DOM POČITKA MENGEŠ,zavod@dpm.si,"Glavni trg 13, 1234 Mengeš",", DOM POČITKA MENGEŠ"
DOM STAREJŠIH OBČANOV PREDDVOR,DOM STAREJŠIH OBČANOV PREDDVOR,dom.preddvor@dso-preddvor.si,"Potoče 2, 4205 Preddvor",", DOM STAREJŠIH OBČANOV PREDDVOR"
DOM UPOKOJENCEV KRANJ,DOM UPOKOJENCEV KRANJ,kranj@ssz-slo.si,"Cesta 1. maja 59, 4000 Kranj",", DOM UPOKOJENCEV KRANJ"
GEODETSKI INŠTITUT SLOVENIJE,GEODETSKI INŠTITUT SLOVENIJE,info@gis.si,"Jamova cesta 2, 1000 Ljubljana",", GEODETSKI INŠTITUT SLOVENIJE"
KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE Kmetijsko gozdarski zavod Nova Gorica,KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE Kmetijsko gozdarski zavod Nova Gorica,info@go.kgzs.si,"Pri hrastu 18, 5000 Nova Gorica",", KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE Kmetijsko gozdarski zavod Nova Gorica"
INŠTITUT ZA HMELJARSTVO IN PIVOVARSTVO SLOVENIJE,INŠTITUT ZA HMELJARSTVO IN PIVOVARSTVO SLOVENIJE,tajnistvo@ihps.si,"Cesta Žalskega tabora 2, 3310 Žalec",", INŠTITUT ZA HMELJARSTVO IN PIVOVARSTVO SLOVENIJE"
ARBORETUM VOLČJI POTOK,ARBORETUM VOLČJI POTOK,info@arboretum.si,"Volčji Potok 3, 1235 Radomlje",", ARBORETUM VOLČJI POTOK"
KNJIŽNICA MIRANA JARCA NOVO MESTO,KNJIŽNICA MIRANA JARCA NOVO MESTO,knjiznicanm@nm-sik.si,"Rozmanova ulica 28, 8000 Novo mesto",", KNJIŽNICA MIRANA JARCA NOVO MESTO"
KNJIŽNICA BENA ZUPANČIČA POSTOJNA,KNJIŽNICA BENA ZUPANČIČA POSTOJNA,sikpos@po.sik.si,"Trg padlih borcev 5, 6230 Postojna",", KNJIŽNICA BENA ZUPANČIČA POSTOJNA"
CANKARJEVA KNJIŽNICA VRHNIKA,CANKARJEVA KNJIŽNICA VRHNIKA,knjiznica@ckv.si,"Tržaška cesta 32, 1360 Vrhnika",", CANKARJEVA KNJIŽNICA VRHNIKA"
Mestna knjižnica Kranj,Mestna knjižnica Kranj,mkk@mkk.si,"Gregorčičeva ulica 1, 4000 Kranj",", Mestna knjižnica Kranj"
SLOVENSKI ETNOGRAFSKI MUZEJ,SLOVENSKI ETNOGRAFSKI MUZEJ,etnomuz@etno-muzej.si,"Metelkova ulica 2, 1000 Ljubljana",", SLOVENSKI ETNOGRAFSKI MUZEJ"
PRIRODOSLOVNI MUZEJ SLOVENIJE,PRIRODOSLOVNI MUZEJ SLOVENIJE,uprava@pms-lj.si,"Prešernova cesta 20, 1000 Ljubljana",", PRIRODOSLOVNI MUZEJ SLOVENIJE"
Univerzitetni rehabilitacijski inštitut Republike Slovenije - Soča,Univerzitetni rehabilitacijski inštitut Republike Slovenije - Soča,info@ir-rs.si,"Linhartova cesta 51, 1000 Ljubljana",", Univerzitetni rehabilitacijski inštitut Republike Slovenije - Soča"
ZAVOD REPUBLIKE SLOVENIJE ZA TRANSFUZIJSKO medicino,ZAVOD REPUBLIKE SLOVENIJE ZA TRANSFUZIJSKO medicino,centrala@ztm.si,"Šlajmerjeva ulica 6, 1000 Ljubljana",", ZAVOD REPUBLIKE SLOVENIJE ZA TRANSFUZIJSKO medicino"
JAVNI ZAVOD LEKARNA LJUBLJANA,JAVNI ZAVOD LEKARNA LJUBLJANA,lekarna.ljubljana@lekarna-lj.si,"Komenskega ulica 11, 1000 Ljubljana",", JAVNI ZAVOD LEKARNA LJUBLJANA"
UNIVERZITETNI KLINIČNI CENTER MARIBOR,UNIVERZITETNI KLINIČNI CENTER MARIBOR,info@ukc-mb.si,"Ljubljanska ulica 5, 2000 Maribor",", UNIVERZITETNI KLINIČNI CENTER MARIBOR"
KMETIJSKI INŠTITUT SLOVENIJE,KMETIJSKI INŠTITUT SLOVENIJE,info@kis.si,"Hacquetova ulica 17, 1000 Ljubljana",", KMETIJSKI INŠTITUT SLOVENIJE"
NARODNI MUZEJ SLOVENIJE,NARODNI MUZEJ SLOVENIJE,info@nms.si,"Prešernova cesta 20, 1000 Ljubljana",", NARODNI MUZEJ SLOVENIJE"
"Inštitut za matematiko, fiziko in mehaniko","Inštitut za matematiko, fiziko in mehaniko",,"Jadranska ulica 19, 1000 Ljubljana",", Inštitut za matematiko, fiziko in mehaniko"
OSREDNJA KNJIŽNICA CELJE,OSREDNJA KNJIŽNICA CELJE,info@knjiznica-celje.si,"Muzejski trg 1 A, 3000 Celje",", OSREDNJA KNJIŽNICA CELJE"
ONKOLOŠKI INŠTITUT LJUBLJANA,ONKOLOŠKI INŠTITUT LJUBLJANA,info@onko-i.si,"Zaloška cesta 2, 1000 Ljubljana",", ONKOLOŠKI INŠTITUT LJUBLJANA"
"LAMBRECHTOV DOM, SLOVENSKE KONJICE","LAMBRECHTOV DOM, SLOVENSKE KONJICE",skonjice@ssz-slo.si,"Šolska ulica 4, 3210 Slovenske Konjice",", LAMBRECHTOV DOM, SLOVENSKE KONJICE"
DOM ZA VARSTVO ODRASLIH VELENJE,DOM ZA VARSTVO ODRASLIH VELENJE,dvov@siol.net,"Kidričeva cesta 23, 3320 Velenje",", DOM ZA VARSTVO ODRASLIH VELENJE"
UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,gp.ukc@kclj.si,"Zaloška cesta 2, 1000 Ljubljana",", UNIVERZITETNI KLINIČNI CENTER LJUBLJANA"
OSNOVNA ŠOLA GORNJA RADGONA,OSNOVNA ŠOLA GORNJA RADGONA,os.gor-radgona@guset.arnes.si,"Prežihova ulica 1, 9250 Gornja Radgona",", OSNOVNA ŠOLA GORNJA RADGONA"
"SREDNJA ŠOLA ZA FARMACIJO, KOZMETIKO IN ZDRAVSTVO","SREDNJA ŠOLA ZA FARMACIJO, KOZMETIKO IN ZDRAVSTVO",ssfkz@guest.arnes.si,"Zdravstvena pot 1, 1000 Ljubljana",", SREDNJA ŠOLA ZA FARMACIJO, KOZMETIKO IN ZDRAVSTVO"
KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR,KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR,info@kmetijski-zavod.si,"Vinarska ulica 14, 2000 Maribor",", KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR"
CENTER ZA SOCIALNO DELO AJDOVŠČINA,CENTER ZA SOCIALNO DELO AJDOVŠČINA,gpcsd.ajdov@gov.si,"Gregorčičeva ulica 18, 5270 Ajdovščina",", CENTER ZA SOCIALNO DELO AJDOVŠČINA"
CENTER ZA SOCIALNO DELO CERKNICA,CENTER ZA SOCIALNO DELO CERKNICA,gpcsd.cerkn@gov.si,"Partizanska cesta 2 A, 1380 Cerknica",", CENTER ZA SOCIALNO DELO CERKNICA"
KNJIŽNICA ŠENTJUR,KNJIŽNICA ŠENTJUR,tatjana.oset@sen.sik.si,"Mestni trg 5 B, 3230 Šentjur",", KNJIŽNICA ŠENTJUR"
Znanstveno-raziskovalno središče Bistra Ptuj,Znanstveno-raziskovalno središče Bistra Ptuj,bistra@bistra.si,"Slovenski trg 6, 2250 Ptuj",", Znanstveno-raziskovalno središče Bistra Ptuj"
"ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana","ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana",,"Dunajska cesta 7, 1000 Ljubljana",", ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana"
DOM STAREJŠIH HRASTNIK,DOM STAREJŠIH HRASTNIK,hrastnik@ssz-slo.si,"Novi log 4 A, 1430 Hrastnik",", DOM STAREJŠIH HRASTNIK"
"Slovenske železnice - Infrastruktura, družba za upravljanje in vzdrževanje železniške infrastrukture ter vodenje železniškega prometa, d.o.o.","Slovenske železnice - Infrastruktura, družba za upravljanje in vzdrževanje železniške infrastrukture ter vodenje železniškega prometa, d.o.o.",,"Kolodvorska ulica 11, 1000 Ljubljana",", Slovenske železnice - Infrastruktura, družba za upravljanje in vzdrževanje železniške infrastrukture ter vodenje železniškega prometa, d.o.o."
"Slovenske železnice - Potniški promet, družba za opravljanje prevoza potnikov v notranjem in mednarodnem železniškem prometu, d.o.o.","Slovenske železnice - Potniški promet, družba za opravljanje prevoza potnikov v notranjem in mednarodnem železniškem prometu, d.o.o.",,"Kolodvorska ulica 11, 1000 Ljubljana",", Slovenske železnice - Potniški promet, družba za opravljanje prevoza potnikov v notranjem in mednarodnem železniškem prometu, d.o.o."
NACIONALNI INŠTITUT ZA JAVNO ZDRAVJE,NACIONALNI INŠTITUT ZA JAVNO ZDRAVJE,info@nijz.si,"Trubarjeva cesta 2, 1000 Ljubljana",", NACIONALNI INŠTITUT ZA JAVNO ZDRAVJE"
"NACIONALNI LABORATORIJ ZA ZDRAVJE, OKOLJE IN HRANO","NACIONALNI LABORATORIJ ZA ZDRAVJE, OKOLJE IN HRANO",info@nlzoh.si,"Prvomajska ulica 1, 2000 Maribor",", NACIONALNI LABORATORIJ ZA ZDRAVJE, OKOLJE IN HRANO"
