Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
Lovska družina Lendava - Vadász egyesület Lendva,Lovska družina Lendava - Vadász egyesület Lendva,,"Vaška ulica 101, 9220 Lendava - Lendva",", Lovska družina Lendava - Vadász egyesület Lendva"
Lovska družina Petišovci - Vadászegyesület Petesháza,Lovska družina Petišovci - Vadászegyesület Petesháza,,"Gara 11, 9220 Lendava - Lendva",", Lovska družina Petišovci - Vadászegyesület Petesháza"
LOVSKA DRUŽINA VELIKA POLANA,LOVSKA DRUŽINA VELIKA POLANA,,"Velika Polana 105, 9225 Velika Polana",", LOVSKA DRUŽINA VELIKA POLANA"
LOVSKA DRUŽINA DOBROVNIK,LOVSKA DRUŽINA DOBROVNIK,,"Dobrovnik 299 A, 9223 Dobrovnik - Dobronak",", LOVSKA DRUŽINA DOBROVNIK"
LOVSKA DRUŽINA KRKA,LOVSKA DRUŽINA KRKA,,"Znojile pri Krki 21, 1301 Krka",", LOVSKA DRUŽINA KRKA"
LOVSKA DRUŽINA IVANČNA GORICA,LOVSKA DRUŽINA IVANČNA GORICA,,"Mala Goričica 10, 1295 Ivančna Gorica",", LOVSKA DRUŽINA IVANČNA GORICA"
LOVSKA DRUŽINA ŠENTVID PRI STIČNI,LOVSKA DRUŽINA ŠENTVID PRI STIČNI,,"Šentpavel na Dolenjskem 20 A, 1296 Šentvid pri Stični",", LOVSKA DRUŽINA ŠENTVID PRI STIČNI"
LOVSKA DRUŽINA DOBREPOLJE,LOVSKA DRUŽINA DOBREPOLJE,,"Vodice 1 A, 1312 Videm - Dobrepolje",", LOVSKA DRUŽINA DOBREPOLJE"
LOVSKA DRUŽINA SUHA KRAJINA,LOVSKA DRUŽINA SUHA KRAJINA,,"Kamni Vrh pri Ambrusu 12 B, 1303 Zagradec",", LOVSKA DRUŽINA SUHA KRAJINA"
LOVSKA DRUŽINA GROSUPLJE,LOVSKA DRUŽINA GROSUPLJE,,"Plešivica pri Žalni 50, 1290 Grosuplje",", LOVSKA DRUŽINA GROSUPLJE"
Lovska družina Bresnica Podgorci,Lovska družina Bresnica Podgorci,,"Podgorci 80, 2273 Podgorci",", Lovska družina Bresnica Podgorci"
LOVSKA DRUŽINA STRUNJAN,LOVSKA DRUŽINA STRUNJAN,,"Sečovlje 111, 6333 Sečovlje - Sicciole",", LOVSKA DRUŽINA STRUNJAN"
LOVSKA DRUŽINA SV. JURIJ JUROVSKI DOL,LOVSKA DRUŽINA SV. JURIJ JUROVSKI DOL,,"Malna 10, 2223 Jurovski Dol",", LOVSKA DRUŽINA SV. JURIJ JUROVSKI DOL"
Lovska družina Voličina,Lovska družina Voličina,,"Selce 25 B, 2232 Voličina",", Lovska družina Voličina"
Lovska družina Tomaž pri Ormožu,Lovska družina Tomaž pri Ormožu,,"Koračice 77, 2258 Sv.Tomaž",", Lovska družina Tomaž pri Ormožu"
LOVSKA DRUŽINA ORMOŽ,LOVSKA DRUŽINA ORMOŽ,,"Ljutomerska cesta 30, 2270 Ormož",", LOVSKA DRUŽINA ORMOŽ"
Ribiška družina Ormož,Ribiška družina Ormož,,"Ob ribniku 1, 2270 Ormož",", Ribiška družina Ormož"
LOVSKA DRUŽINA LUČE,LOVSKA DRUŽINA LUČE,,"Krnica 38 A, 3334 Luče",", LOVSKA DRUŽINA LUČE"
LOVSKA DRUŽINA PREBOLD,LOVSKA DRUŽINA PREBOLD,,"Matke 37 A, 3312 Prebold",", LOVSKA DRUŽINA PREBOLD"
LOVSKA DRUŽINA TABOR,LOVSKA DRUŽINA TABOR,,"Miklavž pri Taboru 31 A, 3304 Tabor",", LOVSKA DRUŽINA TABOR"
RIBIŠKA DRUŽINA AJDOVŠČINA,RIBIŠKA DRUŽINA AJDOVŠČINA,,"Vilharjeva ulica 40 A, 5270 Ajdovščina",", RIBIŠKA DRUŽINA AJDOVŠČINA"
LOVSKA DRUŽINA HUBELJ AJDOVŠČINA,LOVSKA DRUŽINA HUBELJ AJDOVŠČINA,,"Lokavec 176 A, 5270 Ajdovščina",", LOVSKA DRUŽINA HUBELJ AJDOVŠČINA"
LOVSKA DRUŽINA ČAVEN,LOVSKA DRUŽINA ČAVEN,,"Gojače 36 A, 5262 Črniče",", LOVSKA DRUŽINA ČAVEN"
LOVSKA DRUŽINA BREZOVCI,LOVSKA DRUŽINA BREZOVCI,,"Brezovci 56, 9201 Puconci",", LOVSKA DRUŽINA BREZOVCI"
RIBIŠKA DRUŽINA BLED,RIBIŠKA DRUŽINA BLED,,"Veslaška promenada 8, 4260 Bled",", RIBIŠKA DRUŽINA BLED"
LOVSKA DRUŽINA ZABUKOVJE,LOVSKA DRUŽINA ZABUKOVJE,,"Zabukovje nad Sevnico 39 B, 8292 Zabukovje",", LOVSKA DRUŽINA ZABUKOVJE"
LOVSKA DRUŽINA BOŠTANJ,LOVSKA DRUŽINA BOŠTANJ,,"Jablanica 1, 8294 Boštanj",", LOVSKA DRUŽINA BOŠTANJ"
LOVSKA DRUŽINA LOKA PRI ZIDANEM MOSTU,LOVSKA DRUŽINA LOKA PRI ZIDANEM MOSTU,,"Radež 10 B, 1434 Loka pri Zidanem Mostu",", LOVSKA DRUŽINA LOKA PRI ZIDANEM MOSTU"
LOVSKA DRUŽINA MEDVODE,LOVSKA DRUŽINA MEDVODE,,"Škofjeloška cesta 6 A, 1215 Medvode",", LOVSKA DRUŽINA MEDVODE"
LOVSKA DRUŽINA VODICE,LOVSKA DRUŽINA VODICE,,"Selo pri Vodicah 10, 1217 Vodice",", LOVSKA DRUŽINA VODICE"
RIBIŠKA DRUŽINA VEVČE,RIBIŠKA DRUŽINA VEVČE,,"Pod Debnim vrhom 10, 1000 Ljubljana",", RIBIŠKA DRUŽINA VEVČE"
LOVSKA DRUŽINA LAZE,LOVSKA DRUŽINA LAZE,,"Dolsko 16, 1262 Dol pri Ljubljani",", LOVSKA DRUŽINA LAZE"
RIBIŠKA DRUŽINA JESENICE,RIBIŠKA DRUŽINA JESENICE,,"Zgornji Plavž 12 A, 4270 Jesenice",", RIBIŠKA DRUŽINA JESENICE"
LOVSKA DRUŽINA STOL ŽIROVNICA,LOVSKA DRUŽINA STOL ŽIROVNICA,,"Moste 68 E, 4274 Žirovnica",", LOVSKA DRUŽINA STOL ŽIROVNICA"
LOVSKA DRUŽINA DOVJE,LOVSKA DRUŽINA DOVJE,,"Savska cesta 1, 4281 Mojstrana",", LOVSKA DRUŽINA DOVJE"
RIBIŠKA DRUŽINA METLIKA,RIBIŠKA DRUŽINA METLIKA,,"Krasinec 150, 8332 Gradac",", RIBIŠKA DRUŽINA METLIKA"
LOVSKA DRUŽINA ZEMON,LOVSKA DRUŽINA ZEMON,,"Dolenje pri Jelšanah 19, 6254 Jelšane",", LOVSKA DRUŽINA ZEMON"
LOVSKA DRUŽINA KREKOVŠE,LOVSKA DRUŽINA KREKOVŠE,,"Kosovelova ulica 35, 5280 Idrija",", LOVSKA DRUŽINA KREKOVŠE"
RIBIŠKA DRUŽINA SOČA NOVA GORICA,RIBIŠKA DRUŽINA SOČA NOVA GORICA,,"Soška cesta 50, 5250 Solkan",", RIBIŠKA DRUŽINA SOČA NOVA GORICA"
LOVSKA DRUŽINA MOTNIK-ŠPITALIČ,LOVSKA DRUŽINA MOTNIK-ŠPITALIČ,,"Špitalič 33 B, 1221 Motnik",", LOVSKA DRUŽINA MOTNIK-ŠPITALIČ"
LOVSKA DRUŽINA KOSTANJEVICA NA KRKI,LOVSKA DRUŽINA KOSTANJEVICA NA KRKI,,"Resljeva cesta 3, 8311 Kostanjevica na Krki",", LOVSKA DRUŽINA KOSTANJEVICA NA KRKI"
LOVSKA DRUŽINA SUHOR,LOVSKA DRUŽINA SUHOR,,"Sela pri Jugorju 14, 8331 Suhor",", LOVSKA DRUŽINA SUHOR"
LOVSKA DRUŽINA SOLČAVA,LOVSKA DRUŽINA SOLČAVA,,"Solčava 52 A, 3335 Solčava",", LOVSKA DRUŽINA SOLČAVA"
LOVSKA DRUŽINA VOLČE,LOVSKA DRUŽINA VOLČE,,"Volče 25, 5220 Tolmin",", LOVSKA DRUŽINA VOLČE"
LOVSKA DRUŽINA CERKLJE OB KRKI,LOVSKA DRUŽINA CERKLJE OB KRKI,,"Cerklje ob Krki 29, 8263 Cerklje ob Krki",", LOVSKA DRUŽINA CERKLJE OB KRKI"
LOVSKA DRUŽINA SINJI VRH,LOVSKA DRUŽINA SINJI VRH,,"Sinji Vrh 1, 8344 Vinica",", LOVSKA DRUŽINA SINJI VRH"
LOVSKA DRUŽINA NEGOVA,LOVSKA DRUŽINA NEGOVA,,"Negova 3, 9245 Spodnji Ivanjci",", LOVSKA DRUŽINA NEGOVA"
LOVSKA DRUŽINA TABORSKA JAMA,LOVSKA DRUŽINA TABORSKA JAMA,,"Rožnik 25, 1311 Turjak",", LOVSKA DRUŽINA TABORSKA JAMA"
LOVSKA DRUŽINA MIRNA PEČ,LOVSKA DRUŽINA MIRNA PEČ,,"Trg 2, 8216 Mirna Peč",", LOVSKA DRUŽINA MIRNA PEČ"
LOVSKA DRUŽINA CIGONCA,LOVSKA DRUŽINA CIGONCA,,"Cigonca 64, 2310 Slovenska Bistrica",", LOVSKA DRUŽINA CIGONCA"
LOVSKA DRUŽINA MOKRC,LOVSKA DRUŽINA MOKRC,,"Golo 18, 1292 Ig",", LOVSKA DRUŽINA MOKRC"
RIBIŠKA DRUŽINA BREŽICE,RIBIŠKA DRUŽINA BREŽICE,,"Prilipe 22 A, 8250 Brežice",", RIBIŠKA DRUŽINA BREŽICE"
LOVSKA DRUŽINA DOL PRI HRASTNIKU,LOVSKA DRUŽINA DOL PRI HRASTNIKU,,"Gore 14 C, 1431 Dol pri Hrastniku",", LOVSKA DRUŽINA DOL PRI HRASTNIKU"
LOVSKA DRUŽINA LAŠKO,LOVSKA DRUŽINA LAŠKO,,"Cesta na Svetino 21, 3270 Laško",", LOVSKA DRUŽINA LAŠKO"
LOVSKA DRUŽINA JURKLOŠTER,LOVSKA DRUŽINA JURKLOŠTER,,"Lahov Graben 10 B, 3273 Jurklošter",", LOVSKA DRUŽINA JURKLOŠTER"
LOVSKA DRUŽINA RADEČE,LOVSKA DRUŽINA RADEČE,,"Močilno 7 A, 1433 Radeče",", LOVSKA DRUŽINA RADEČE"
LOVSKA DRUŽINA REČICA PRI LAŠKEM,LOVSKA DRUŽINA REČICA PRI LAŠKEM,,"Taborje 11, 3270 Laško",", LOVSKA DRUŽINA REČICA PRI LAŠKEM"
LOVSKA DRUŽINA OLJKA ŠMARTNO OB PAKI,LOVSKA DRUŽINA OLJKA ŠMARTNO OB PAKI,,"Skorno 19, 3327 Šmartno ob Paki",", LOVSKA DRUŽINA OLJKA ŠMARTNO OB PAKI"
RIBIŠKA DRUŽINA PAKA ŠOŠTANJ,RIBIŠKA DRUŽINA PAKA ŠOŠTANJ,,"Cankarjeva cesta 22 A, 3325 Šoštanj",", RIBIŠKA DRUŽINA PAKA ŠOŠTANJ"
LOVSKA DRUŽINA OTOČEC,LOVSKA DRUŽINA OTOČEC,,"Vrh pri Pahi 19, 8222 Otočec",", LOVSKA DRUŽINA OTOČEC"
LOVSKA DRUŽINA LAZINA,LOVSKA DRUŽINA LAZINA,,"Klopce 4, 8361 Dvor",", LOVSKA DRUŽINA LAZINA"
LOVSKA DRUŽINA PLEŠIVICA - ŽUŽEMBERK,LOVSKA DRUŽINA PLEŠIVICA - ŽUŽEMBERK,,"Grajski trg 29, 8360 Žužemberk",", LOVSKA DRUŽINA PLEŠIVICA - ŽUŽEMBERK"
RIBIŠKA DRUŽINA VOGLAJNA,RIBIŠKA DRUŽINA VOGLAJNA,,"Gorica pri Slivnici 6 A, 3263 Gorica pri Slivnici",", RIBIŠKA DRUŽINA VOGLAJNA"
RIBIŠKA DRUŽINA CELJE,RIBIŠKA DRUŽINA CELJE,,"Čopova ulica 19, 3000 Celje",", RIBIŠKA DRUŽINA CELJE"
JAMARSKA ZVEZA SLOVENIJE,JAMARSKA ZVEZA SLOVENIJE,,"Lepi pot 6, 1000 Ljubljana",", JAMARSKA ZVEZA SLOVENIJE"
"KSP HRASTNIK Komunalno - stanovanjsko podjetje, d.d.","KSP HRASTNIK Komunalno - stanovanjsko podjetje, d.d.",,"Cesta 3. julija 7, 1430 Hrastnik",", KSP HRASTNIK Komunalno - stanovanjsko podjetje, d.d."
LOVSKA ZVEZA SLOVENIJE,LOVSKA ZVEZA SLOVENIJE,,"Župančičeva ulica 9, 1000 Ljubljana",", LOVSKA ZVEZA SLOVENIJE"
LOVSKA DRUŽINA LJUTOMER,LOVSKA DRUŽINA LJUTOMER,,"Podgradje 36, 9240 Ljutomer",", LOVSKA DRUŽINA LJUTOMER"
RIBIŠKA DRUŽINA NOVO MESTO,RIBIŠKA DRUŽINA NOVO MESTO,,"Seidlova cesta 8, 8000 Novo mesto",", RIBIŠKA DRUŽINA NOVO MESTO"
RIBIŠKA ZVEZA SLOVENIJE,RIBIŠKA ZVEZA SLOVENIJE,,"Tržaška cesta 134, 1000 Ljubljana",", RIBIŠKA ZVEZA SLOVENIJE"
LOVSKA DRUŽINA BRESTANICA,LOVSKA DRUŽINA BRESTANICA,,"Dolenji Leskovec 51 A, 8280 Brestanica",", LOVSKA DRUŽINA BRESTANICA"
LOVSKA DRUŽINA VELIKI PODLOG,LOVSKA DRUŽINA VELIKI PODLOG,,"Pristava pri Leskovcu 17 A, 8273 Leskovec pri Krškem",", LOVSKA DRUŽINA VELIKI PODLOG"
LOVSKA DRUŽINA VIDEM OB SAVI,LOVSKA DRUŽINA VIDEM OB SAVI,,"Libna 2 A, 8270 Krško",", LOVSKA DRUŽINA VIDEM OB SAVI"
LOVSKA DRUŽINA RAKA,LOVSKA DRUŽINA RAKA,,"Kržišče 17, 8274 Raka",", LOVSKA DRUŽINA RAKA"
LOVSKA DRUŽINA KRŠKO,LOVSKA DRUŽINA KRŠKO,,"Trška Gora 21, 8270 Krško",", LOVSKA DRUŽINA KRŠKO"
RIBIŠKA DRUŽINA KOSTANJEVICA NA KRKI,RIBIŠKA DRUŽINA KOSTANJEVICA NA KRKI,,"Ljubljanska cesta 7, 8311 Kostanjevica na Krki",", RIBIŠKA DRUŽINA KOSTANJEVICA NA KRKI"
LOVSKA DRUŽINA VELIKI KAMEN,LOVSKA DRUŽINA VELIKI KAMEN,,"Mali Kamen 38 B, 8281 Senovo",", LOVSKA DRUŽINA VELIKI KAMEN"
LOVSKA DRUŽINA STROJNA RAVNE NA KOROŠKEM,LOVSKA DRUŽINA STROJNA RAVNE NA KOROŠKEM,,"Tolsti Vrh p. R. na K. - del 72, 2390 Ravne na Koroškem",", LOVSKA DRUŽINA STROJNA RAVNE NA KOROŠKEM"
LOVSKA DRUŽINA POGOREVC ČRNA NA KOROŠKEM,LOVSKA DRUŽINA POGOREVC ČRNA NA KOROŠKEM,,"Jazbina 9, 2393 Črna na Koroškem",", LOVSKA DRUŽINA POGOREVC ČRNA NA KOROŠKEM"
LOVSKA DRUŽINA ŠTANJEL,LOVSKA DRUŽINA ŠTANJEL,,"Tupelče 40, 6222 Štanjel",", LOVSKA DRUŽINA ŠTANJEL"
LOVSKA DRUŽINA LOČE,LOVSKA DRUŽINA LOČE,,"Mlače 35 B, 3215 Loče",", LOVSKA DRUŽINA LOČE"
LOVSKA DRUŽINA KAMNIK,LOVSKA DRUŽINA KAMNIK,,"Zgornje Palovče 10, 1241 Kamnik",", LOVSKA DRUŽINA KAMNIK"
LOVSKA DRUŽINA KOMENDA,LOVSKA DRUŽINA KOMENDA,,"Križ 42 D, 1218 Komenda",", LOVSKA DRUŽINA KOMENDA"
RIBIŠKA DRUŽINA ČRNOMELJ,RIBIŠKA DRUŽINA ČRNOMELJ,,"Ulica 21. oktobra 10, 8340 Črnomelj",", RIBIŠKA DRUŽINA ČRNOMELJ"
DRUŠTVO ZA RAZISKOVANJE JAM SIMON ROBIČ DOMŽALE,DRUŠTVO ZA RAZISKOVANJE JAM SIMON ROBIČ DOMŽALE,,"Češminova ulica 19, 1230 Domžale",", DRUŠTVO ZA RAZISKOVANJE JAM SIMON ROBIČ DOMŽALE"
LOVSKA DRUŽINA TRNOVO,LOVSKA DRUŽINA TRNOVO,,"Koritnice 72, 6253 Knežak",", LOVSKA DRUŽINA TRNOVO"
LOVSKA DRUŽINA BREŽICE,LOVSKA DRUŽINA BREŽICE,,"Bukošek 70, 8250 Brežice",", LOVSKA DRUŽINA BREŽICE"
LOVSKA DRUŽINA GLOBOKO,LOVSKA DRUŽINA GLOBOKO,,"Piršenbreg 18 B, 8254 Globoko",", LOVSKA DRUŽINA GLOBOKO"
LOVSKA DRUŽINA DOBOVA,LOVSKA DRUŽINA DOBOVA,,"Sela pri Dobovi 122, 8257 Dobova",", LOVSKA DRUŽINA DOBOVA"
LOVSKA DRUŽINA SORICA,LOVSKA DRUŽINA SORICA,,"Spodnja Sorica 16, 4229 Sorica",", LOVSKA DRUŽINA SORICA"
RIBIŠKA DRUŽINA ŽELEZNIKI,RIBIŠKA DRUŽINA ŽELEZNIKI,,"Rudno 1 A, 4228 Železniki",", RIBIŠKA DRUŽINA ŽELEZNIKI"
LOVSKA DRUŽINA BOČ,LOVSKA DRUŽINA BOČ,,"Zgornji Gabernik 70, 3241 Podplat",", LOVSKA DRUŽINA BOČ"
PLANINSKO DRUŠTVO TOLMIN,PLANINSKO DRUŠTVO TOLMIN,,"Trg maršala Tita 16 A, 5220 Tolmin",", PLANINSKO DRUŠTVO TOLMIN"
LOVSKA DRUŽINA LOG POD MANGARTOM,LOVSKA DRUŽINA LOG POD MANGARTOM,,"Log pod Mangartom 52 A, 5231 Log pod Mangartom",", LOVSKA DRUŽINA LOG POD MANGARTOM"
LOVSKA DRUŽINA PODBRDO,LOVSKA DRUŽINA PODBRDO,,"Podbrdo 39, 5243 Podbrdo",", LOVSKA DRUŽINA PODBRDO"
LOVSKA DRUŽINA TREBUŠA,LOVSKA DRUŽINA TREBUŠA,,"Gorenja Trebuša 36 A, 5283 Slap ob Idrijci",", LOVSKA DRUŽINA TREBUŠA"
LOVSKA DRUŽINA SMAST,LOVSKA DRUŽINA SMAST,,"Ladra 43, 5222 Kobarid",", LOVSKA DRUŽINA SMAST"
LOVSKA DRUŽINA DREŽNICA,LOVSKA DRUŽINA DREŽNICA,,"Drežnica 59, 5222 Kobarid",", LOVSKA DRUŽINA DREŽNICA"
LOVSKA DRUŽINA ČEZSOČA,LOVSKA DRUŽINA ČEZSOČA,,"Čezsoča 15, 5230 Bovec",", LOVSKA DRUŽINA ČEZSOČA"
LOVSKA DRUŽINA TRŽIČ,LOVSKA DRUŽINA TRŽIČ,,"Koroška cesta 7, 4290 Tržič",", LOVSKA DRUŽINA TRŽIČ"
LOVSKA DRUŽINA DOBRČA,LOVSKA DRUŽINA DOBRČA,,"Visoče 24, 4290 Tržič",", LOVSKA DRUŽINA DOBRČA"
LOVSKA DRUŽINA IZLAKE,LOVSKA DRUŽINA IZLAKE,,"Loke 6, 1411 Izlake",", LOVSKA DRUŽINA IZLAKE"
LOVSKA DRUŽINA ČEMŠENIK,LOVSKA DRUŽINA ČEMŠENIK,,"Brezje 32, 1413 Čemšenik",", LOVSKA DRUŽINA ČEMŠENIK"
LOVSKA DRUŽINA PODKUM,LOVSKA DRUŽINA PODKUM,,"Podkum 10, 1414 Podkum",", LOVSKA DRUŽINA PODKUM"
LOVSKA DRUŽINA APAČE,LOVSKA DRUŽINA APAČE,,"Črnci 55, 9253 Apače",", LOVSKA DRUŽINA APAČE"
LOVSKA DRUŽINA GORNJA RADGONA,LOVSKA DRUŽINA GORNJA RADGONA,,"Hercegovščak 32 B, 9250 Gornja Radgona",", LOVSKA DRUŽINA GORNJA RADGONA"
LOVSKA DRUŽINA RADENCI,LOVSKA DRUŽINA RADENCI,,"Boračeva 40 C, 9252 Radenci",", LOVSKA DRUŽINA RADENCI"
LOVSKA DRUŽINA VIDEM OB ŠČAVNICI,LOVSKA DRUŽINA VIDEM OB ŠČAVNICI,,"Blaguš 27, 9244 Sveti Jurij ob Ščavnici",", LOVSKA DRUŽINA VIDEM OB ŠČAVNICI"
LOVSKA DRUŽINA BANJA LOKA - KOSTEL,LOVSKA DRUŽINA BANJA LOKA - KOSTEL,,"Banja loka 2, 1336 Kostel",", LOVSKA DRUŽINA BANJA LOKA - KOSTEL"
RIBIŠKA DRUŽINA KOČEVJE,RIBIŠKA DRUŽINA KOČEVJE,,"Reška cesta 5 A, 1330 Kočevje",", RIBIŠKA DRUŽINA KOČEVJE"
LOVSKA DRUŽINA DRAGA - TRAVA,LOVSKA DRUŽINA DRAGA - TRAVA,,"Draga 33 A, 1319 Draga",", LOVSKA DRUŽINA DRAGA - TRAVA"
LOVSKA DRUŽINA MALA GORA,LOVSKA DRUŽINA MALA GORA,,"Željne 86, 1330 Kočevje",", LOVSKA DRUŽINA MALA GORA"
LOVSKA DRUŽINA VIPAVA,LOVSKA DRUŽINA VIPAVA,,"Glavni trg 15, 5271 Vipava",", LOVSKA DRUŽINA VIPAVA"
LOVSKA DRUŽINA LITIJA,LOVSKA DRUŽINA LITIJA,,"Ponoviče 8, 1282 Sava",", LOVSKA DRUŽINA LITIJA"
LOVSKA DRUŽINA KRESNICE,LOVSKA DRUŽINA KRESNICE,,"Senožeti 25, 1262 Dol pri Ljubljani",", LOVSKA DRUŽINA KRESNICE"
LOVSKA DRUŽINA LOGATEC,LOVSKA DRUŽINA LOGATEC,,"Notranjska cesta 81, 1370 Logatec",", LOVSKA DRUŽINA LOGATEC"
RIBIŠKA DRUŽINA POSTOJNA,RIBIŠKA DRUŽINA POSTOJNA,,"Tržaška cesta 86 B, 6230 Postojna",", RIBIŠKA DRUŽINA POSTOJNA"
LOVSKA DRUŽINA ŠMARJE PRI JELŠAH,LOVSKA DRUŽINA ŠMARJE PRI JELŠAH,,"Sotensko pri Šmarju 29, 3240 Šmarje pri Jelšah",", LOVSKA DRUŽINA ŠMARJE PRI JELŠAH"
LOVSKA DRUŽINA ZREČE,LOVSKA DRUŽINA ZREČE,,"Cesta na Gorenje 3 A, 3214 Zreče",", LOVSKA DRUŽINA ZREČE"
Lovska družina PESNICA - JARENINA,Lovska družina PESNICA - JARENINA,,"Spodnje Dobrenje 62 A, 2211 Pesnica pri Mariboru",", Lovska družina PESNICA - JARENINA"
LOVSKA DRUŽINA ŠKALE,LOVSKA DRUŽINA ŠKALE,,"Škale 74 C, 3320 Velenje",", LOVSKA DRUŽINA ŠKALE"
RIBIŠKA DRUŽINA LJUBNO OB SAVINJI,RIBIŠKA DRUŽINA LJUBNO OB SAVINJI,,"Na Pečeh 10, 3333 Ljubno ob Savinji",", RIBIŠKA DRUŽINA LJUBNO OB SAVINJI"
RIBIŠKA DRUŽINA RADEČE,RIBIŠKA DRUŽINA RADEČE,,"Hotemež 30, 1433 Radeče",", RIBIŠKA DRUŽINA RADEČE"
LOVSKA DRUŽINA DRAVINJA MAJŠPERK,LOVSKA DRUŽINA DRAVINJA MAJŠPERK,,"Stanečka vas 28, 2322 Majšperk",", LOVSKA DRUŽINA DRAVINJA MAJŠPERK"
Lovska družina Središče,Lovska družina Središče,,"Slovenska cesta 13, 2277 Središče ob Dravi",", Lovska družina Središče"
LOVSKA DRUŽINA VELKA,LOVSKA DRUŽINA VELKA,,"Zgornji Dražen Vrh 37, 2213 Zgornja Velka",", LOVSKA DRUŽINA VELKA"
Lovska družina Radvanje,Lovska družina Radvanje,,"Za gradom 29, 2000 Maribor",", Lovska družina Radvanje"
LOVSKA DRUŽINA PERNICA,LOVSKA DRUŽINA PERNICA,,"Pernica 24, 2231 Pernica",", LOVSKA DRUŽINA PERNICA"
RIBIŠKA DRUŽINA LAŠKO,RIBIŠKA DRUŽINA LAŠKO,,"Trubarjeva ulica 3, 3270 Laško",", RIBIŠKA DRUŽINA LAŠKO"
LOVSKA DRUŽINA DOLINA,LOVSKA DRUŽINA DOLINA,,"Dolina 48, 9201 Puconci",", LOVSKA DRUŽINA DOLINA"
LOVSKA DRUŽINA TOŠKO ČELO,LOVSKA DRUŽINA TOŠKO ČELO,,"Toško Čelo 16, 1000 Ljubljana",", LOVSKA DRUŽINA TOŠKO ČELO"
LOVSKA DRUŽINA RADOVCI,LOVSKA DRUŽINA RADOVCI,,"Bodonci 1 A, 9265 Bodonci",", LOVSKA DRUŽINA RADOVCI"
RIBIŠKA DRUŽINA SEVNICA,RIBIŠKA DRUŽINA SEVNICA,,"Zavratec 34, 8293 Studenec",", RIBIŠKA DRUŽINA SEVNICA"
LOVSKA DRUŽINA BOVEC,LOVSKA DRUŽINA BOVEC,,"Ledina 3, 5230 Bovec",", LOVSKA DRUŽINA BOVEC"
LOVSKA DRUŽINA NOVO MESTO,LOVSKA DRUŽINA NOVO MESTO,,"Brezova Reber pri Dvoru 16, 8361 Dvor",", LOVSKA DRUŽINA NOVO MESTO"
LOVSKA DRUŽINA TOPLICE,LOVSKA DRUŽINA TOPLICE,,"Dobindol 70, 8323 Uršna sela",", LOVSKA DRUŽINA TOPLICE"
LOVSKA DRUŽINA SLOVENJ GRADEC,LOVSKA DRUŽINA SLOVENJ GRADEC,,"Sele 9 A, 2380 Slovenj Gradec",", LOVSKA DRUŽINA SLOVENJ GRADEC"
LOVSKA DRUŽINA VELIKI GABER,LOVSKA DRUŽINA VELIKI GABER,,"Veliki Gaber 97, 8213 Veliki Gaber",", LOVSKA DRUŽINA VELIKI GABER"
LOVSKA DRUŽINA ŠKOCJAN,LOVSKA DRUŽINA ŠKOCJAN,,"Škocjan 35, 8275 Škocjan",", LOVSKA DRUŽINA ŠKOCJAN"
LOVSKA DRUŽINA KOPRIVNA TOPLA ČRNA NA KOROŠKEM,LOVSKA DRUŽINA KOPRIVNA TOPLA ČRNA NA KOROŠKEM,,"Rudarjevo 3, 2393 Črna na Koroškem",", LOVSKA DRUŽINA KOPRIVNA TOPLA ČRNA NA KOROŠKEM"
LOVSKA DRUŽINA PONIKVA,LOVSKA DRUŽINA PONIKVA,,"Slatina pri Ponikvi 47, 3232 Ponikva",", LOVSKA DRUŽINA PONIKVA"
LOVSKA DRUŽINA SLOVENSKE KONJICE,LOVSKA DRUŽINA SLOVENSKE KONJICE,,"Bukovlje 66, 3206 Stranice",", LOVSKA DRUŽINA SLOVENSKE KONJICE"
LOVSKA DRUŽINA SEVNICA,LOVSKA DRUŽINA SEVNICA,,"Metni Vrh 13 A, 8290 Sevnica",", LOVSKA DRUŽINA SEVNICA"
LOVSKA DRUŽINA PODBOČJE,LOVSKA DRUŽINA PODBOČJE,,"Gradnje 9, 8312 Podbočje",", LOVSKA DRUŽINA PODBOČJE"
LOVSKA DRUŽINA DOBROVA,LOVSKA DRUŽINA DOBROVA,,"Setnica - del 40, 1355 Polhov Gradec",", LOVSKA DRUŽINA DOBROVA"
LOVSKA DRUŽINA HANDIL DOBJE PRI PLANINI,LOVSKA DRUŽINA HANDIL DOBJE PRI PLANINI,,"Dobje pri Planini 9 A, 3224 Dobje pri Planini",", LOVSKA DRUŽINA HANDIL DOBJE PRI PLANINI"
LOVSKA DRUŽINA BOHOR PLANINA PRI SEVNICI,LOVSKA DRUŽINA BOHOR PLANINA PRI SEVNICI,,"Doropolje 41, 3225 Planina pri Sevnici",", LOVSKA DRUŽINA BOHOR PLANINA PRI SEVNICI"
LOVSKA DRUŽINA BIZELJSKO,LOVSKA DRUŽINA BIZELJSKO,,"Bukovje 3 A, 8259 Bizeljsko",", LOVSKA DRUŽINA BIZELJSKO"
LOVSKA DRUŽINA PRISTAVA,LOVSKA DRUŽINA PRISTAVA,,"Spodnje Tinsko 29 A, 3223 Loka pri Žusmu",", LOVSKA DRUŽINA PRISTAVA"
