Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"INSTITUT JOŽEF STEFAN V angl.jeziku: Jožef Stefan Institute, Ljubljana, Slovenia","INSTITUT JOŽEF STEFAN V angl.jeziku: Jožef Stefan Institute, Ljubljana, Slovenia",info@ijs.si,"Jamova cesta 39, 1000 Ljubljana",", INSTITUT JOŽEF STEFAN V angl.jeziku: Jožef Stefan Institute, Ljubljana, Slovenia"
"INŠTITUT ZA KOVINSKE MATERIALE IN TEHNOLOGIJE Lepi pot 11, Ljubljana","INŠTITUT ZA KOVINSKE MATERIALE IN TEHNOLOGIJE Lepi pot 11, Ljubljana",info@imt.si,"Lepi pot 11, 1000 Ljubljana",", INŠTITUT ZA KOVINSKE MATERIALE IN TEHNOLOGIJE Lepi pot 11, Ljubljana"
GOZDARSKI INŠTITUT SLOVENIJE,GOZDARSKI INŠTITUT SLOVENIJE,info@gozdis.si,"Večna pot 2, 1000 Ljubljana",", GOZDARSKI INŠTITUT SLOVENIJE"
KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE Kmetijsko gozdarski zavod Nova Gorica,KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE Kmetijsko gozdarski zavod Nova Gorica,info@go.kgzs.si,"Pri hrastu 18, 5000 Nova Gorica",", KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE Kmetijsko gozdarski zavod Nova Gorica"
INŠTITUT ZA HMELJARSTVO IN PIVOVARSTVO SLOVENIJE,INŠTITUT ZA HMELJARSTVO IN PIVOVARSTVO SLOVENIJE,tajnistvo@ihps.si,"Cesta Žalskega tabora 2, 3310 Žalec",", INŠTITUT ZA HMELJARSTVO IN PIVOVARSTVO SLOVENIJE"
CENTER ZA SOCIALNO DELO LJUBLJANA BEŽIGRAD,CENTER ZA SOCIALNO DELO LJUBLJANA BEŽIGRAD,gpcsd.ljbez@gov.si,"Einspielerjeva ulica 6, 1000 Ljubljana",", CENTER ZA SOCIALNO DELO LJUBLJANA BEŽIGRAD"
KMETIJSKI INŠTITUT SLOVENIJE,KMETIJSKI INŠTITUT SLOVENIJE,info@kis.si,"Hacquetova ulica 17, 1000 Ljubljana",", KMETIJSKI INŠTITUT SLOVENIJE"
NACIONALNI INŠTITUT ZA BIOLOGIJO National Institute of Biology,NACIONALNI INŠTITUT ZA BIOLOGIJO National Institute of Biology,tajnistvo@nib.si,"Večna pot 111, 1000 Ljubljana",", NACIONALNI INŠTITUT ZA BIOLOGIJO National Institute of Biology"
VZGOJNOVARSTVENI ZAVOD KEKEC GROSUPLJE,VZGOJNOVARSTVENI ZAVOD KEKEC GROSUPLJE,majda.fajdiga@guest.arnes.si,"Trubarjeva cesta 15, 1290 Grosuplje",", VZGOJNOVARSTVENI ZAVOD KEKEC GROSUPLJE"
CENTER ZA SOCIALNO DELO CELJE,CENTER ZA SOCIALNO DELO CELJE,gpcsd.celje@gov.si,"Opekarniška cesta 15 B, 3000 Celje",", CENTER ZA SOCIALNO DELO CELJE"
OBMOČNO ZDRUŽENJE RDEČEGA KRIŽA VRHNIKA,OBMOČNO ZDRUŽENJE RDEČEGA KRIŽA VRHNIKA,,"Poštna ulica 7 B, 1360 Vrhnika",", OBMOČNO ZDRUŽENJE RDEČEGA KRIŽA VRHNIKA"
GOSPODARSKA ZBORNICA SLOVENIJE CENTER ZA POSLOVNO USPOSABLJANJE,GOSPODARSKA ZBORNICA SLOVENIJE CENTER ZA POSLOVNO USPOSABLJANJE,,"Kardeljeva ploščad 27 A, 1000 Ljubljana",", GOSPODARSKA ZBORNICA SLOVENIJE CENTER ZA POSLOVNO USPOSABLJANJE"
OSNOVNA ŠOLA LOUISA ADAMIČA GROSUPLJE,OSNOVNA ŠOLA LOUISA ADAMIČA GROSUPLJE,lag.osljlag@guest.arnes.si,"Tovarniška cesta 14, 1290 Grosuplje",", OSNOVNA ŠOLA LOUISA ADAMIČA GROSUPLJE"
OSNOVNA ŠOLA MOZIRJE,OSNOVNA ŠOLA MOZIRJE,o-mozirje.ce@guest.arnes.si,"Šolska ulica 23, 3330 Mozirje",", OSNOVNA ŠOLA MOZIRJE"
UNIVERZA V MARIBORU,UNIVERZA V MARIBORU,rektorat@um.si,"Slomškov trg 15, 2000 Maribor",", UNIVERZA V MARIBORU"
KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR,KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR,info@kmetijski-zavod.si,"Vinarska ulica 14, 2000 Maribor",", KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR"
SŽ - ŽELEZNIŠKI ZDRAVSTVENI DOM LJUBLJANA,SŽ - ŽELEZNIŠKI ZDRAVSTVENI DOM LJUBLJANA,,"Celovška cesta 4, 1000 Ljubljana",", SŽ - ŽELEZNIŠKI ZDRAVSTVENI DOM LJUBLJANA"
OBRTNO-PODJETNIŠKA ZBORNICA SLOVENIJE,OBRTNO-PODJETNIŠKA ZBORNICA SLOVENIJE,,"Celovška cesta 71, 1000 Ljubljana",", OBRTNO-PODJETNIŠKA ZBORNICA SLOVENIJE"
ZAVOD ZA POKOJNINSKO IN INVALIDSKO ZAVAROVANJE SLOVENIJE,ZAVOD ZA POKOJNINSKO IN INVALIDSKO ZAVAROVANJE SLOVENIJE,informacije@zpiz.si,"Kolodvorska ulica 15, 1000 Ljubljana",", ZAVOD ZA POKOJNINSKO IN INVALIDSKO ZAVAROVANJE SLOVENIJE"
CENTER ZA SOCIALNO DELO MURSKA SOBOTA,CENTER ZA SOCIALNO DELO MURSKA SOBOTA,gpcsd.mursk@gov.si,"Slovenska ulica 44, 9000 Murska Sobota",", CENTER ZA SOCIALNO DELO MURSKA SOBOTA"
CENTER ZA SOCIALNO DELO IZOLA,CENTER ZA SOCIALNO DELO IZOLA,gpcsd.izola@gov.si,"Cesta v Pregavor 3 A, 6310 Izola - Isola",", CENTER ZA SOCIALNO DELO IZOLA"
CENTER ZA SOCIALNO DELO PIRAN,CENTER ZA SOCIALNO DELO PIRAN,gpcsd.piran@gov.si,"Obala 114, 6320 Portorož - Portorose",", CENTER ZA SOCIALNO DELO PIRAN"
CENTER ZA SOCIALNO DELO RAVNE NA KOROŠKEM,CENTER ZA SOCIALNO DELO RAVNE NA KOROŠKEM,gpcsd.ravne@gov.si,"Gozdarska pot 17, 2390 Ravne na Koroškem",", CENTER ZA SOCIALNO DELO RAVNE NA KOROŠKEM"
CENTER ZA SOCIALNO DELO Nova Gorica,CENTER ZA SOCIALNO DELO Nova Gorica,gpcsd.gorica1@gov.si,"Delpinova ulica 18 B, 5000 Nova Gorica",", CENTER ZA SOCIALNO DELO Nova Gorica"
CENTER ZA SOCIALNO DELO SEŽANA,CENTER ZA SOCIALNO DELO SEŽANA,gpcsd.sezan@gov.si,"Kosovelova ulica 4 B, 6210 Sežana",", CENTER ZA SOCIALNO DELO SEŽANA"
CENTER ZA SOCIALNO DELO RADLJE OB DRAVI,CENTER ZA SOCIALNO DELO RADLJE OB DRAVI,gpcsd.radlj@gov.si,"Mariborska cesta 7, 2360 Radlje ob Dravi",", CENTER ZA SOCIALNO DELO RADLJE OB DRAVI"
CENTER ZA SOCIALNO DELO POSTOJNA,CENTER ZA SOCIALNO DELO POSTOJNA,gpcsd.posto@gov.si,"Novi trg 6, 6230 Postojna",", CENTER ZA SOCIALNO DELO POSTOJNA"
CENTER ZA SOCIALNO DELO MARIBOR,CENTER ZA SOCIALNO DELO MARIBOR,gpcsd.marib@gov.si,"Zagrebška cesta 72, 2000 Maribor",", CENTER ZA SOCIALNO DELO MARIBOR"
CENTER ZA SOCIALNO DELO SLOVENSKA BISTRICA,CENTER ZA SOCIALNO DELO SLOVENSKA BISTRICA,gpcsd.slovb@gov.si,"Ljubljanska cesta 16, 2310 Slovenska Bistrica",", CENTER ZA SOCIALNO DELO SLOVENSKA BISTRICA"
CENTER ZA SOCIALNO DELO VELENJE,CENTER ZA SOCIALNO DELO VELENJE,gpcsd.velen@gov.si,"Prešernova cesta 10, 3320 Velenje",", CENTER ZA SOCIALNO DELO VELENJE"
CENTER ZA SOCIALNO DELO VRHNIKA,CENTER ZA SOCIALNO DELO VRHNIKA,gpcsd.vrhni@gov.si,"Ljubljanska cesta 16, 1360 Vrhnika",", CENTER ZA SOCIALNO DELO VRHNIKA"
CENTER ZA SOCIALNO DELO SLOVENJ GRADEC,CENTER ZA SOCIALNO DELO SLOVENJ GRADEC,gpcsd.slovg@gov.si,"Ozka ulica 1, 2380 Slovenj Gradec",", CENTER ZA SOCIALNO DELO SLOVENJ GRADEC"
CENTER ZA SOCIALNO DELO LENDAVA Szocialis ugyintezo kozpont Lendva,CENTER ZA SOCIALNO DELO LENDAVA Szocialis ugyintezo kozpont Lendva,gpcsd.lenda@gov.si,"Glavna ulica 73, 9220 Lendava - Lendva",", CENTER ZA SOCIALNO DELO LENDAVA Szocialis ugyintezo kozpont Lendva"
CENTER ZA SOCIALNO DELO IL.BISTRICA,CENTER ZA SOCIALNO DELO IL.BISTRICA,gpcsd.ilirs@gov.si,"Bazoviška cesta 32, 6250 Ilirska Bistrica",", CENTER ZA SOCIALNO DELO IL.BISTRICA"
CENTER ZA SOCIALNO DELO KOPER,CENTER ZA SOCIALNO DELO KOPER,gpcsd.koper@gov.si,"Cankarjeva ulica 6, 6000 Koper - Capodistria",", CENTER ZA SOCIALNO DELO KOPER"
CENTER ZA SOCIALNO DELO ŽALEC,CENTER ZA SOCIALNO DELO ŽALEC,gpcsd.zalec@gov.si,"Mestni trg 5, 3310 Žalec",", CENTER ZA SOCIALNO DELO ŽALEC"
CENTER ZA SOCIALNO DELO AJDOVŠČINA,CENTER ZA SOCIALNO DELO AJDOVŠČINA,gpcsd.ajdov@gov.si,"Gregorčičeva ulica 18, 5270 Ajdovščina",", CENTER ZA SOCIALNO DELO AJDOVŠČINA"
CENTER ZA SOCIALNO DELO CERKNICA,CENTER ZA SOCIALNO DELO CERKNICA,gpcsd.cerkn@gov.si,"Partizanska cesta 2 A, 1380 Cerknica",", CENTER ZA SOCIALNO DELO CERKNICA"
CENTER ZA SOCIALNO DELO KRŠKO,CENTER ZA SOCIALNO DELO KRŠKO,gpcsd.krsko@gov.si,"Cesta krških žrtev 11, 8270 Krško",", CENTER ZA SOCIALNO DELO KRŠKO"
CENTER ZA SOCIALNO DELO KAMNIK,CENTER ZA SOCIALNO DELO KAMNIK,gpcsd.kamni@gov.si,"Usnjarska cesta 8, 1241 Kamnik",", CENTER ZA SOCIALNO DELO KAMNIK"
CENTER ZA SOCIALNO DELO JESENICE,CENTER ZA SOCIALNO DELO JESENICE,gpcsd.jesen@gov.si,"Cesta železarjev 4 A, 4270 Jesenice",", CENTER ZA SOCIALNO DELO JESENICE"
CENTER ZA SOCIALNO DELO GORNJA RADGONA,CENTER ZA SOCIALNO DELO GORNJA RADGONA,gpcsd.gornj@gov.si,"Partizanska cesta 21, 9250 Gornja Radgona",", CENTER ZA SOCIALNO DELO GORNJA RADGONA"
CENTER ZA SOCIALNO DELO LJUTOMER,CENTER ZA SOCIALNO DELO LJUTOMER,gpcsd.ljuto@gov.si,"Rajh Nade ulica 2 A, 9240 Ljutomer",", CENTER ZA SOCIALNO DELO LJUTOMER"
CENTER ZA SOCIALNO DELO LITIJA,CENTER ZA SOCIALNO DELO LITIJA,gpcsd.litij@gov.si,"Ljubljanska cesta 12, 1270 Litija",", CENTER ZA SOCIALNO DELO LITIJA"
CENTER ZA SOCIALNO DELO SEVNICA,CENTER ZA SOCIALNO DELO SEVNICA,gpcsd.sevni@gov.si,"Trg svobode 9, 8290 Sevnica",", CENTER ZA SOCIALNO DELO SEVNICA"
CENTER ZA SOCIALNO DELO TOLMIN,CENTER ZA SOCIALNO DELO TOLMIN,gpcsd.tolmi@gov.si,"Cankarjeva ulica 6, 5220 Tolmin",", CENTER ZA SOCIALNO DELO TOLMIN"
CENTER ZA SOCIALNO DELO RADOVLJICA,CENTER ZA SOCIALNO DELO RADOVLJICA,gpcsd.radov@gov.si,"Kopališka cesta 10, 4240 Radovljica",", CENTER ZA SOCIALNO DELO RADOVLJICA"
CENTER ZA SOCIALNO DELO ŠKOFJA LOKA,CENTER ZA SOCIALNO DELO ŠKOFJA LOKA,gpcsd.skofj@gov.si,"Partizanska cesta 1 D, 4220 Škofja Loka",", CENTER ZA SOCIALNO DELO ŠKOFJA LOKA"
CENTER ZA SOCIALNO DELO PTUJ,CENTER ZA SOCIALNO DELO PTUJ,gpcsd.ptuj@gov.si,"Trstenjakova ulica 5 A, 2250 Ptuj",", CENTER ZA SOCIALNO DELO PTUJ"
CENTER ZA SOCIALNO DELO TREBNJE,CENTER ZA SOCIALNO DELO TREBNJE,gpcsd.treb@gov.si,"Goliev trg 11, 8210 Trebnje",", CENTER ZA SOCIALNO DELO TREBNJE"
CENTER ZA SOCIALNO DELO Idrija,CENTER ZA SOCIALNO DELO Idrija,gpcsd.idrij@gov.si,"Vojkova ulica 2 A, 5280 Idrija",", CENTER ZA SOCIALNO DELO Idrija"
CENTER ZA SOCIALNO DELO LENART,CENTER ZA SOCIALNO DELO LENART,gpcsd.lenar@gov.si,"Ilaunigova ulica 19, 2230 Lenart v Slov. goricah",", CENTER ZA SOCIALNO DELO LENART"
CENTER ZA SOCIALNO DELO GROSUPLJE,CENTER ZA SOCIALNO DELO GROSUPLJE,gpcsd.grosu@gov.si,"Adamičeva cesta 51, 1290 Grosuplje",", CENTER ZA SOCIALNO DELO GROSUPLJE"
CENTER ZA SOCIALNO DELO ŠENTJUR PRI CELJU,CENTER ZA SOCIALNO DELO ŠENTJUR PRI CELJU,gpcsd.sentj@gov.si,"Ulica Dušana Kvedra 11, 3230 Šentjur",", CENTER ZA SOCIALNO DELO ŠENTJUR PRI CELJU"
CENTER ZA SOCIALNO DELO ŠMARJE PRI JELŠAH,CENTER ZA SOCIALNO DELO ŠMARJE PRI JELŠAH,gpcsd.smarj@gov.si,"Rogaška cesta 38, 3240 Šmarje pri Jelšah",", CENTER ZA SOCIALNO DELO ŠMARJE PRI JELŠAH"
CENTER ZA SOCIALNO DELO DOMŽALE,CENTER ZA SOCIALNO DELO DOMŽALE,gpcsd.domza@gov.si,"Ljubljanska cesta 70, 1230 Domžale",", CENTER ZA SOCIALNO DELO DOMŽALE"
CENTER ZA SOCIALNO DELO BREŽICE,CENTER ZA SOCIALNO DELO BREŽICE,gpcsd.brezi@gov.si,"Cesta prvih borcev 24, 8250 Brežice",", CENTER ZA SOCIALNO DELO BREŽICE"
CENTER ZA SOCIALNO DELO RIBNICA,CENTER ZA SOCIALNO DELO RIBNICA,gpcsd.ribni@gov.si,"Škrabčev trg 17, 1310 Ribnica",", CENTER ZA SOCIALNO DELO RIBNICA"
CENTER ZA SOCIALNO DELO DRAVOGRAD,CENTER ZA SOCIALNO DELO DRAVOGRAD,gpcsd.dravo@gov.si,"Meža 4, 2370 Dravograd",", CENTER ZA SOCIALNO DELO DRAVOGRAD"
CENTER ZA SOCIALNO DELO ZAGORJE OB SAVI,CENTER ZA SOCIALNO DELO ZAGORJE OB SAVI,gpcsd.zagor@gov.si,"Cesta zmage 7, 1410 Zagorje ob Savi",", CENTER ZA SOCIALNO DELO ZAGORJE OB SAVI"
CENTER ZA SOCIALNO DELO ČRNOMELJ,CENTER ZA SOCIALNO DELO ČRNOMELJ, gpcsd.crnom@gov.si,"Ulica 21. oktobra 9, 8340 Črnomelj",", CENTER ZA SOCIALNO DELO ČRNOMELJ"
CENTER ZA SOCIALNO DELO ORMOŽ,CENTER ZA SOCIALNO DELO ORMOŽ,gpcsd.ormoz@gov.si,"Ptujska cesta 12, 2270 Ormož",", CENTER ZA SOCIALNO DELO ORMOŽ"
CENTER ZA SOCIALNO DELO TRŽIČ,CENTER ZA SOCIALNO DELO TRŽIČ,gpcsd.trzic@gov.si,"Usnjarska ulica 3, 4290 Tržič",", CENTER ZA SOCIALNO DELO TRŽIČ"
CENTER ZA SOCIALNO DELO MOZIRJE,CENTER ZA SOCIALNO DELO MOZIRJE,gpcsd.mozir@gov.si,"Šmihelska cesta 2, 3330 Mozirje",", CENTER ZA SOCIALNO DELO MOZIRJE"
CENTER ZA SOCIALNO DELO TRBOVLJE,CENTER ZA SOCIALNO DELO TRBOVLJE,gpcsd.trbov@gov.si,"Mestni trg 5 A, 1420 Trbovlje",", CENTER ZA SOCIALNO DELO TRBOVLJE"
CENTER ZA SOCIALNO DELO LOGATEC,CENTER ZA SOCIALNO DELO LOGATEC,gpcsd.logat@gov.si,"Tržaška cesta 50 A, 1370 Logatec",", CENTER ZA SOCIALNO DELO LOGATEC"
CENTER ZA SOCIALNO DELO HRASTNIK,CENTER ZA SOCIALNO DELO HRASTNIK,gpcsd.hrast@gov.si,"Log 9, 1430 Hrastnik",", CENTER ZA SOCIALNO DELO HRASTNIK"
CENTER ZA SOCIALNO DELO METLIKA,CENTER ZA SOCIALNO DELO METLIKA,gpcsd.metli@gov.si,"Naselje Borisa Kidriča 5 A, 8330 Metlika",", CENTER ZA SOCIALNO DELO METLIKA"
ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,gpzrsz@ess.gov.si,"Rožna dolina, cesta IX 6, 1000 Ljubljana",", ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE"
CENTER ZA SOCIALNO DELO KOČEVJE Kočevje,CENTER ZA SOCIALNO DELO KOČEVJE Kočevje,gpcsd.kocev@gov.si,"Ljubljanska cesta 9, 1330 Kočevje",", CENTER ZA SOCIALNO DELO KOČEVJE Kočevje"
GLASBENA ŠOLA GROSUPLJE,GLASBENA ŠOLA GROSUPLJE,glasbena.sola.grosuplje@siol.net,"Partizanska cesta 5, 1290 Grosuplje",", GLASBENA ŠOLA GROSUPLJE"
MESTNA KNJIŽNICA GROSUPLJE,MESTNA KNJIŽNICA GROSUPLJE,knjiznicagrs@gro.sik.si,"Adamičeva cesta 15, 1290 Grosuplje",", MESTNA KNJIŽNICA GROSUPLJE"
"SID - Slovenska izvozna in razvojna banka, d.d., Ljubljana","SID - Slovenska izvozna in razvojna banka, d.d., Ljubljana",,"Ulica Josipine Turnograjske 6, 1000 Ljubljana",", SID - Slovenska izvozna in razvojna banka, d.d., Ljubljana"
CENTER ZA SOCIALNO DELO RUŠE,CENTER ZA SOCIALNO DELO RUŠE,gpcsd.ruse@gov.si,"Hmeljarska ulica 8, 2342 Ruše",", CENTER ZA SOCIALNO DELO RUŠE"
CENTER ZA SOCIALNO DELO PESNICA,CENTER ZA SOCIALNO DELO PESNICA,gpcsd.pesni@gov.si,"Pesnica pri Mariboru 43 A, 2211 Pesnica pri Mariboru",", CENTER ZA SOCIALNO DELO PESNICA"
"Slovenski državni holding, d.d.","Slovenski državni holding, d.d.",,"Mala ulica 5, 1000 Ljubljana",", Slovenski državni holding, d.d."
CENTER ZA SOCIALNO DELO LAŠKO,CENTER ZA SOCIALNO DELO LAŠKO,gpcsd.lasko@gov.si,"Kidričeva ulica 2 A, 3270 Laško",", CENTER ZA SOCIALNO DELO LAŠKO"
ZDRAVSTVENI DOM PIRAN POLIAMBULATORIO PIRANO,ZDRAVSTVENI DOM PIRAN POLIAMBULATORIO PIRANO,matjaz.krajnc@zd-piran.si,"Cesta solinarjev 1, 6320 Portorož - Portorose",", ZDRAVSTVENI DOM PIRAN POLIAMBULATORIO PIRANO"
CENTER ZA SOCIALNO DELO SLOVENSKE KONJICE,CENTER ZA SOCIALNO DELO SLOVENSKE KONJICE,gpcsd.slovk@gov.si,"Mestni trg 18, 3210 Slovenske Konjice",", CENTER ZA SOCIALNO DELO SLOVENSKE KONJICE"
Zbornica za razvoj slovenskega zasebnega varovanja,Zbornica za razvoj slovenskega zasebnega varovanja,,"Dimičeva ulica 9, 1000 Ljubljana",", Zbornica za razvoj slovenskega zasebnega varovanja"
SLOVENSKI INŠTITUT ZA REVIZIJO,SLOVENSKI INŠTITUT ZA REVIZIJO,,"Dunajska cesta 106, 1000 Ljubljana",", SLOVENSKI INŠTITUT ZA REVIZIJO"
ZAVOD ZA GOZDOVE SLOVENIJE Ljubljana,ZAVOD ZA GOZDOVE SLOVENIJE Ljubljana,zgs.tajnistvo@zgs.si,"Večna pot 2, 1000 Ljubljana",", ZAVOD ZA GOZDOVE SLOVENIJE Ljubljana"
SOCIALNA ZBORNICA SLOVENIJE,SOCIALNA ZBORNICA SLOVENIJE,,"Ukmarjeva ulica 2, 1000 Ljubljana",", SOCIALNA ZBORNICA SLOVENIJE"
