Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
MINISTRSTVO ZA FINANCE URAD REPUBLIKE SLOVENIJE ZA NADZOR PRORAČUNA,MINISTRSTVO ZA FINANCE URAD REPUBLIKE SLOVENIJE ZA NADZOR PRORAČUNA,mf.unp@mf-rs.si,"Fajfarjeva ulica 33, 1000 Ljubljana",", MINISTRSTVO ZA FINANCE URAD REPUBLIKE SLOVENIJE ZA NADZOR PRORAČUNA"
MINISTRSTVO ZA NOTRANJE ZADEVE INŠPEKTORAT REPUBLIKE SLOVENIJE ZA NOTRANJE ZADEVE,MINISTRSTVO ZA NOTRANJE ZADEVE INŠPEKTORAT REPUBLIKE SLOVENIJE ZA NOTRANJE ZADEVE,gp.mnz@gov.si,"Štefanova ulica 2, 1000 Ljubljana",", MINISTRSTVO ZA NOTRANJE ZADEVE INŠPEKTORAT REPUBLIKE SLOVENIJE ZA NOTRANJE ZADEVE"
URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,urad.slovenci@gov.si,"Erjavčeva cesta 15, 1000 Ljubljana",", URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU"
KOMISIJA ZA PREPREČEVANJE KORUPCIJE,KOMISIJA ZA PREPREČEVANJE KORUPCIJE,anti.korupcija@kpk-rs.si,"Dunajska cesta 56, 1000 Ljubljana",", KOMISIJA ZA PREPREČEVANJE KORUPCIJE"
"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA","REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA",aktrp@gov.si,"Dunajska cesta 160, 1000 Ljubljana",", REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA"
OKRAJNO SODIŠČE V LJUBLJANI,OKRAJNO SODIŠČE V LJUBLJANI,urad.ojlj@sodisce.si,"Miklošičeva cesta 10, 1000 Ljubljana",", OKRAJNO SODIŠČE V LJUBLJANI"
"MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA OBRAMBO","MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA OBRAMBO",irso@mors.si,"Vojkova cesta 55, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA OBRAMBO"
"MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE","MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE",glavna.pisarna.gssv@mors.si,"Vojkova cesta 55, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE"
"MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA VARSTVO PRED NARAVNIMI IN DRUGIMI NESREČAMI","MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA VARSTVO PRED NARAVNIMI IN DRUGIMI NESREČAMI",irsvndn@mors.si,"Vojkova cesta 61, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA VARSTVO PRED NARAVNIMI IN DRUGIMI NESREČAMI"
"MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, UPRAVA RS ZA ZAŠČITO IN REŠEVANJE","MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, UPRAVA RS ZA ZAŠČITO IN REŠEVANJE",urszr@urszr.si,"Vojkova cesta 61, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, UPRAVA RS ZA ZAŠČITO IN REŠEVANJE"
MINISTRSTVO ZA PRAVOSODJE,MINISTRSTVO ZA PRAVOSODJE,gp.mp@gov.si,"Župančičeva ulica 3, 1000 Ljubljana",", MINISTRSTVO ZA PRAVOSODJE"
MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,gp.mgrt@gov.si,"Kotnikova ulica 5, 1000 Ljubljana",", MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO"
"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO","MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",gp.mko@gov.si,"Dunajska cesta 22, 1000 Ljubljana",", MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO"
"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA KMETIJSTVO, GOZDARSTVO, LOVSTVO IN RIBIŠTVO","MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA KMETIJSTVO, GOZDARSTVO, LOVSTVO IN RIBIŠTVO",irsko.mko@gov.si,"Dunajska cesta 58, 1000 Ljubljana",", MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA KMETIJSTVO, GOZDARSTVO, LOVSTVO IN RIBIŠTVO"
MINISTRSTVO ZA INFRASTRUKTURO,MINISTRSTVO ZA INFRASTRUKTURO,gp.mzip@gov.si,"Langusova ulica 4, 1000 Ljubljana",", MINISTRSTVO ZA INFRASTRUKTURO"
"MINISTRSTVO ZA INFRASTRUKTURO, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA INFRASTRUKTURO","MINISTRSTVO ZA INFRASTRUKTURO, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA INFRASTRUKTURO",gp.irspep@gov.si,"Vožarski pot 12, 1000 Ljubljana",", MINISTRSTVO ZA INFRASTRUKTURO, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA INFRASTRUKTURO"
"MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT","MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT",gp.mizs@gov.si,"Masarykova cesta 16, 1000 Ljubljana",", MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT"
SPECIALIZIRANO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,SPECIALIZIRANO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,specializirano.tozilstvo@dt-rs.si,"Trg Osvobodilne fronte 13, 1000 Ljubljana",", SPECIALIZIRANO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE"
DRŽAVNOTOŽILSKI SVET,DRŽAVNOTOŽILSKI SVET,dtrs@dt-rs.si,"Trg Osvobodilne fronte 13, 1000 Ljubljana",", DRŽAVNOTOŽILSKI SVET"
"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, UPRAVA REPUBLIKE SLOVENIJE ZA VARNO HRANO, VETERINARSTVO IN VARSTVO RASTLIN","MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, UPRAVA REPUBLIKE SLOVENIJE ZA VARNO HRANO, VETERINARSTVO IN VARSTVO RASTLIN",gp.uvhvvr@gov.si,"Dunajska cesta 22, 1000 Ljubljana",", MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, UPRAVA REPUBLIKE SLOVENIJE ZA VARNO HRANO, VETERINARSTVO IN VARSTVO RASTLIN"
MINISTRSTVO ZA KULTURO,MINISTRSTVO ZA KULTURO,gp.mk@gov.si,"Maistrova ulica 10, 1000 Ljubljana",", MINISTRSTVO ZA KULTURO"
MINISTRSTVO ZA KULTURO ARHIV REPUBLIKE SLOVENIJE,MINISTRSTVO ZA KULTURO ARHIV REPUBLIKE SLOVENIJE,ars@gov.si,"Zvezdarska ulica 1, 1000 Ljubljana",", MINISTRSTVO ZA KULTURO ARHIV REPUBLIKE SLOVENIJE"
MINISTRSTVO ZA KULTURO INŠPEKTORAT REPUBLIKE SLOVENIJE ZA KULTURO IN MEDIJE,MINISTRSTVO ZA KULTURO INŠPEKTORAT REPUBLIKE SLOVENIJE ZA KULTURO IN MEDIJE,gp.irskm@gov.si,"Metelkova ulica 4, 1000 Ljubljana",", MINISTRSTVO ZA KULTURO INŠPEKTORAT REPUBLIKE SLOVENIJE ZA KULTURO IN MEDIJE"
URAD VLADE REPUBLIKE SLOVENIJE ZA NARODNOSTI,URAD VLADE REPUBLIKE SLOVENIJE ZA NARODNOSTI,gp.un@gov.si,"Gregorčičeva ulica 25, 1000 Ljubljana",", URAD VLADE REPUBLIKE SLOVENIJE ZA NARODNOSTI"
SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO,SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO,gp.svrk@gov.si,"Kotnikova ulica 5, 1000 Ljubljana",", SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO"
MINISTRSTVO ZA FINANCE FINANČNA UPRAVA REPUBLIKE SLOVENIJE,MINISTRSTVO ZA FINANCE FINANČNA UPRAVA REPUBLIKE SLOVENIJE,gfu.fu@gov.si,"Šmartinska cesta 55, 1000 Ljubljana",", MINISTRSTVO ZA FINANCE FINANČNA UPRAVA REPUBLIKE SLOVENIJE"
MINISTRSTVO ZA JAVNO UPRAVO,MINISTRSTVO ZA JAVNO UPRAVO,gp.mnz@gov.si,"Tržaška cesta 21, 1000 Ljubljana",", MINISTRSTVO ZA JAVNO UPRAVO"
MINISTRSTVO ZA OKOLJE IN PROSTOR,MINISTRSTVO ZA OKOLJE IN PROSTOR,gp.mko@gov.si,"Dunajska cesta 48, 1000 Ljubljana",", MINISTRSTVO ZA OKOLJE IN PROSTOR"
"MINISTRSTVO ZA OKOLJE IN PROSTOR, UPRAVA REPUBLIKE SLOVENIJE ZA JEDRSKO VARNOST","MINISTRSTVO ZA OKOLJE IN PROSTOR, UPRAVA REPUBLIKE SLOVENIJE ZA JEDRSKO VARNOST",gp.ursjv@gov.si,"Litostrojska cesta 54, 1000 Ljubljana",", MINISTRSTVO ZA OKOLJE IN PROSTOR, UPRAVA REPUBLIKE SLOVENIJE ZA JEDRSKO VARNOST"
"MINISTRSTVO ZA OKOLJE IN PROSTOR, AGENCIJA REPUBLIKE SLOVENIJE ZA OKOLJE","MINISTRSTVO ZA OKOLJE IN PROSTOR, AGENCIJA REPUBLIKE SLOVENIJE ZA OKOLJE",gp.arso@gov.si,"Vojkova cesta 1 B, 1000 Ljubljana",", MINISTRSTVO ZA OKOLJE IN PROSTOR, AGENCIJA REPUBLIKE SLOVENIJE ZA OKOLJE"
"MINISTRSTVO ZA OKOLJE IN PROSTOR, GEODETSKA UPRAVA REPUBLIKE SLOVENIJE","MINISTRSTVO ZA OKOLJE IN PROSTOR, GEODETSKA UPRAVA REPUBLIKE SLOVENIJE",pisarna.gu@gov.si,"Zemljemerska ulica 12, 1000 Ljubljana",", MINISTRSTVO ZA OKOLJE IN PROSTOR, GEODETSKA UPRAVA REPUBLIKE SLOVENIJE"
"MINISTRSTVO ZA OKOLJE IN PROSTOR, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA OKOLJE IN PROSTOR","MINISTRSTVO ZA OKOLJE IN PROSTOR, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA OKOLJE IN PROSTOR",gp.irsop@gov.si,"Dunajska cesta 58, 1000 Ljubljana",", MINISTRSTVO ZA OKOLJE IN PROSTOR, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA OKOLJE IN PROSTOR"
"MINISTRSTVO ZA JAVNO UPRAVO, INŠPEKTORAT ZA JAVNI SEKTOR","MINISTRSTVO ZA JAVNO UPRAVO, INŠPEKTORAT ZA JAVNI SEKTOR",gp.ijs@gov.si,"Tržaška cesta 21, 1000 Ljubljana",", MINISTRSTVO ZA JAVNO UPRAVO, INŠPEKTORAT ZA JAVNI SEKTOR"
Nacionalna agencija Republike Slovenije za kakovost v visokem šolstvu,Nacionalna agencija Republike Slovenije za kakovost v visokem šolstvu,info@nakvis.si,"Slovenska cesta 9, 1000 Ljubljana",", Nacionalna agencija Republike Slovenije za kakovost v visokem šolstvu"
OKROŽNO SODIŠČE V KOPRU,OKROŽNO SODIŠČE V KOPRU,urad.ozkp@sodisce.si,"Ferrarska ulica 9, 6000 Koper - Capodistria",", OKROŽNO SODIŠČE V KOPRU"
OKROŽNO DRŽAVNO TOŽILSTVO V KOPRU,OKROŽNO DRŽAVNO TOŽILSTVO V KOPRU,odtkp@dt-rs.si,"Ferrarska ulica 5 A, 6000 Koper - Capodistria",", OKROŽNO DRŽAVNO TOŽILSTVO V KOPRU"
DELOVNO SODIŠČE V KOPRU,DELOVNO SODIŠČE V KOPRU,urad.dskp@sodisce.si,"Ferrarska ulica 9, 6000 Koper - Capodistria",", DELOVNO SODIŠČE V KOPRU"
"MINISTRSTVO ZA INFRASTRUKTURO, UPRAVA REPUBLIKE SLOVENIJE ZA POMORSTVO","MINISTRSTVO ZA INFRASTRUKTURO, UPRAVA REPUBLIKE SLOVENIJE ZA POMORSTVO",ursp.box@gov.si,"Ukmarjev trg 2, 6000 Koper - Capodistria",", MINISTRSTVO ZA INFRASTRUKTURO, UPRAVA REPUBLIKE SLOVENIJE ZA POMORSTVO"
OKROŽNO SODIŠČE V KRANJU,OKROŽNO SODIŠČE V KRANJU,urad.ozkr@sodisce.si,"Zoisova ulica 2, 4000 Kranj",", OKROŽNO SODIŠČE V KRANJU"
OKROŽNO DRŽAVNO TOŽILSTVO V LJUBLJANI,OKROŽNO DRŽAVNO TOŽILSTVO V LJUBLJANI,odtlj@dt-rs.si,"Slovenska cesta 41, 1000 Ljubljana",", OKROŽNO DRŽAVNO TOŽILSTVO V LJUBLJANI"
VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,dtrs@dt-rs.si,"Trg Osvobodilne fronte 13, 1000 Ljubljana",", VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE"
OKROŽNO SODIŠČE V LJUBLJANI,OKROŽNO SODIŠČE V LJUBLJANI,urad.ozlj@sodisce.si,"Tavčarjeva ulica 9, 1000 Ljubljana",", OKROŽNO SODIŠČE V LJUBLJANI"
VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,urad.vsrs@sodisce.si,"Tavčarjeva ulica 9, 1000 Ljubljana",", VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE"
DRŽAVNO PRAVOBRANILSTVO REPUBLIKE SLOVENIJE,DRŽAVNO PRAVOBRANILSTVO REPUBLIKE SLOVENIJE,urad.dprs@dp-rs.si,"Šubičeva ulica 2, 1000 Ljubljana",", DRŽAVNO PRAVOBRANILSTVO REPUBLIKE SLOVENIJE"
"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI","REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI",gp.mddsz@gov.si,"Kotnikova ulica 28, 1000 Ljubljana",", REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI"
DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,gp@dz-rs.si,"Šubičeva ulica 4, 1000 Ljubljana",", DRŽAVNI ZBOR REPUBLIKE SLOVENIJE"
VLADA REPUBLIKE SLOVENIJE STATISTIČNI URAD REPUBLIKE SLOVENIJE,VLADA REPUBLIKE SLOVENIJE STATISTIČNI URAD REPUBLIKE SLOVENIJE,gp.surs@gov.si,"Litostrojska cesta 54, 1000 Ljubljana",", VLADA REPUBLIKE SLOVENIJE STATISTIČNI URAD REPUBLIKE SLOVENIJE"
OKROŽNO SODIŠČE V MARIBORU,OKROŽNO SODIŠČE V MARIBORU,urad.ozmb@sodisce.si,"Sodna ulica 14, 2000 Maribor",", OKROŽNO SODIŠČE V MARIBORU"
OKROŽNO DRŽAVNO TOŽILSTVO V MARIBORU,OKROŽNO DRŽAVNO TOŽILSTVO V MARIBORU,odtmb@dt-rs.si,"Ulica talcev 24, 2000 Maribor",", OKROŽNO DRŽAVNO TOŽILSTVO V MARIBORU"
OKROŽNO DRŽAVNO TOŽILSTVO V MURSKI SOBOTI,OKROŽNO DRŽAVNO TOŽILSTVO V MURSKI SOBOTI,odtms@dt-rs.si,"Slomškova ulica 1, 9000 Murska Sobota",", OKROŽNO DRŽAVNO TOŽILSTVO V MURSKI SOBOTI"
OKROŽNO SODIŠČE V MURSKI SOBOTI,OKROŽNO SODIŠČE V MURSKI SOBOTI,urad.ozms@sodisce.si,"Slomškova ulica 21, 9000 Murska Sobota",", OKROŽNO SODIŠČE V MURSKI SOBOTI"
OKROŽNO DRŽAVNO TOŽILSTVO V NOVI GORICI,OKROŽNO DRŽAVNO TOŽILSTVO V NOVI GORICI,odtgo@dt-rs.si,"Prvomajska ulica 50, 5000 Nova Gorica",", OKROŽNO DRŽAVNO TOŽILSTVO V NOVI GORICI"
OKROŽNO SODIŠČE V NOVI GORICI,OKROŽNO SODIŠČE V NOVI GORICI,urad.ozng@sodisce.si,"Kidričeva ulica 14, 5000 Nova Gorica",", OKROŽNO SODIŠČE V NOVI GORICI"
OKROŽNO DRŽAVNO TOŽILSTVO NOVO MESTO,OKROŽNO DRŽAVNO TOŽILSTVO NOVO MESTO,odtnm@dt-rs.si,"Vrhovčeva ulica 18, 8000 Novo mesto",", OKROŽNO DRŽAVNO TOŽILSTVO NOVO MESTO"
OKROŽNO SODIŠČE V NOVEM MESTU,OKROŽNO SODIŠČE V NOVEM MESTU,urad.oznm@sodisce.si,"Jerebova ulica 2, 8000 Novo mesto",", OKROŽNO SODIŠČE V NOVEM MESTU"
OKROŽNO DRŽAVNO TOŽILSTVO V CELJU,OKROŽNO DRŽAVNO TOŽILSTVO V CELJU,odtce@dt-rs.si,"Ljubljanska cesta 5, 3000 Celje",", OKROŽNO DRŽAVNO TOŽILSTVO V CELJU"
OKROŽNO DRŽAVNO TOŽILSTVO V KRANJU,OKROŽNO DRŽAVNO TOŽILSTVO V KRANJU,odtkr@dt-rs.si,"Nazorjeva ulica 1, 4000 Kranj",", OKROŽNO DRŽAVNO TOŽILSTVO V KRANJU"
OKROŽNO SODIŠČE V CELJU,OKROŽNO SODIŠČE V CELJU,urad.ozce@sodisce.si,"Prešernova ulica 22, 3000 Celje",", OKROŽNO SODIŠČE V CELJU"
USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,info@us-rs.si,"Beethovnova ulica 10, 1000 Ljubljana",", USTAVNO SODIŠČE REPUBLIKE SLOVENIJE"
URAD REPUBLIKE SLOVENIJE ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ,URAD REPUBLIKE SLOVENIJE ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ,gp.umar@gov.si,"Gregorčičeva ulica 27, 1000 Ljubljana",", URAD REPUBLIKE SLOVENIJE ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ"
MINISTRSTVO ZA FINANCE,MINISTRSTVO ZA FINANCE,gp.mf@gov.si,"Župančičeva ulica 3, 1000 Ljubljana",", MINISTRSTVO ZA FINANCE"
VLADA REPUBLIKE SLOVENIJE PROTOKOL,VLADA REPUBLIKE SLOVENIJE PROTOKOL,gp.protokol@gov.si,"Erjavčeva cesta 17, 1000 Ljubljana",", VLADA REPUBLIKE SLOVENIJE PROTOKOL"
MINISTRSTVO ZA NOTRANJE ZADEVE,MINISTRSTVO ZA NOTRANJE ZADEVE,gp.mnz@gov.si,"Štefanova ulica 2, 1000 Ljubljana",", MINISTRSTVO ZA NOTRANJE ZADEVE"
MINISTRSTVO ZA ZDRAVJE,MINISTRSTVO ZA ZDRAVJE,gp.mz@gov.si,"Štefanova ulica 5, 1000 Ljubljana",", MINISTRSTVO ZA ZDRAVJE"
URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,gp.uprs@up-rs.si,"Erjavčeva cesta 17, 1000 Ljubljana",", URAD PREDSEDNIKA REPUBLIKE SLOVENIJE"
VIŠJE SODIŠČE V LJUBLJANI,VIŠJE SODIŠČE V LJUBLJANI,urad.vislj@sodisce.si,"Tavčarjeva ulica 9, 1000 Ljubljana",", VIŠJE SODIŠČE V LJUBLJANI"
VIŠJE SODIŠČE V KOPRU,VIŠJE SODIŠČE V KOPRU,urad.viskp@sodisce.si,"Ferrarska ulica 9, 6000 Koper - Capodistria",", VIŠJE SODIŠČE V KOPRU"
VIŠJE SODIŠČE V MARIBORU,VIŠJE SODIŠČE V MARIBORU,urad.vismb@sodisce.si,"Sodna ulica 14, 2000 Maribor",", VIŠJE SODIŠČE V MARIBORU"
VIŠJE SODIŠČE V CELJU,VIŠJE SODIŠČE V CELJU,urad.visce@sodisce.si,"Prešernova ulica 22, 3000 Celje",", VIŠJE SODIŠČE V CELJU"
MINISTRSTVO ZA ZUNANJE ZADEVE,MINISTRSTVO ZA ZUNANJE ZADEVE,info.mzz@gov.si,"Prešernova cesta 25, 1000 Ljubljana",", MINISTRSTVO ZA ZUNANJE ZADEVE"
URAD VLADE REPUBLIKE SLOVENIJE ZA KOMUNICIRANJE,URAD VLADE REPUBLIKE SLOVENIJE ZA KOMUNICIRANJE,gp.ukom@gov.si,"Gregorčičeva ulica 25, 1000 Ljubljana",", URAD VLADE REPUBLIKE SLOVENIJE ZA KOMUNICIRANJE"
VLADA REPUBLIKE SLOVENIJE SLUŽBA ZA ZAKONODAJO,VLADA REPUBLIKE SLOVENIJE SLUŽBA ZA ZAKONODAJO,gp.svz@gov.si,"Mestni trg 4, 1000 Ljubljana",", VLADA REPUBLIKE SLOVENIJE SLUŽBA ZA ZAKONODAJO"
KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,gp.kpv@gov.si,"Gregorčičeva ulica 25, 1000 Ljubljana",", KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE"
MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,glavna.pisarna@mors.si,"Vojkova cesta 55, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE"
