Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
KRAJEVNA SKUPNOST PINCE,KRAJEVNA SKUPNOST PINCE,obcina@lendava.si,"Lendavska cesta 45, 9220 Lendava - Lendva",", KRAJEVNA SKUPNOST PINCE"
KRAJEVNA SKUPNOST KAPCA,KRAJEVNA SKUPNOST KAPCA,obcina@lendava.si,"Glavna ulica 6, 9220 Lendava - Lendva",", KRAJEVNA SKUPNOST KAPCA"
KRAJEVNA SKUPNOST KOT,KRAJEVNA SKUPNOST KOT,obcina@lendava.si,"Mlinska ulica 21, 9220 Lendava - Lendva",", KRAJEVNA SKUPNOST KOT"
KRAJEVNA SKUPNOST RADMOŽANCI,KRAJEVNA SKUPNOST RADMOŽANCI,obcina@lendava.si,"Radmožanci 39, 9223 Dobrovnik - Dobronak",", KRAJEVNA SKUPNOST RADMOŽANCI"
KRAJEVNA SKUPNOST GORNJI LAKOŠ,KRAJEVNA SKUPNOST GORNJI LAKOŠ,obcina@lendava.si,"Glavna ulica 61, 9220 Lendava - Lendva",", KRAJEVNA SKUPNOST GORNJI LAKOŠ"
KRAJEVNA SKUPNOST PINCE MAROF BENICA,KRAJEVNA SKUPNOST PINCE MAROF BENICA,obcina@lendava.si,"Pince-Marof 30, 9220 Lendava - Lendva",", KRAJEVNA SKUPNOST PINCE MAROF BENICA"
KRAJEVNA SKUPNOST DOLINA,KRAJEVNA SKUPNOST DOLINA,obcina@lendava.si,"Glavna ulica 29, 9220 Lendava - Lendva",", KRAJEVNA SKUPNOST DOLINA"
MESTNA OBČINA MARIBOR KRAJEVNA SKUPNOST MALEČNIK - RUPERČE,MESTNA OBČINA MARIBOR KRAJEVNA SKUPNOST MALEČNIK - RUPERČE,ks.malecnikruperce@maribor.si,"Malečnik 51, 2229 Malečnik",", MESTNA OBČINA MARIBOR KRAJEVNA SKUPNOST MALEČNIK - RUPERČE"
KRAJEVNA SKUPNOST SELA,KRAJEVNA SKUPNOST SELA,info@videm.si,"Sela 31, 2324 Lovrenc na Dravskem polju",", KRAJEVNA SKUPNOST SELA"
KRAJEVNA SKUPNOST KATARINA,KRAJEVNA SKUPNOST KATARINA,info@kskatarina.si,"Topol pri Medvodah 17, 1215 Medvode",", KRAJEVNA SKUPNOST KATARINA"
KRAJEVNA SKUPNOST TRNOVEC,KRAJEVNA SKUPNOST TRNOVEC,info@trnovec.si,"Trnovec 25 C, 1215 Medvode",", KRAJEVNA SKUPNOST TRNOVEC"
KRAJEVNA SKUPNOST SENIČICA-GOLO BRDO,KRAJEVNA SKUPNOST SENIČICA-GOLO BRDO,kssenicica@gmail.com,"Seničica 28, 1215 Medvode",", KRAJEVNA SKUPNOST SENIČICA-GOLO BRDO"
KRAJEVNA SKUPNOST STREHOVCI,KRAJEVNA SKUPNOST STREHOVCI,obcina@dobrovnik.si,"Strehovci 29, 9223 Dobrovnik - Dobronak",", KRAJEVNA SKUPNOST STREHOVCI"
KRAJEVNA SKUPNOST ŽITKOVCI - ZSITKOCI HELYI KOZOSSEG,KRAJEVNA SKUPNOST ŽITKOVCI - ZSITKOCI HELYI KOZOSSEG,obcina@dobrovnik.si,,", KRAJEVNA SKUPNOST ŽITKOVCI - ZSITKOCI HELYI KOZOSSEG"
KRAJEVNA SKUPNOST DOBROVNIK - DOBRONAKI HELYI KOZOSSEG,KRAJEVNA SKUPNOST DOBROVNIK - DOBRONAKI HELYI KOZOSSEG,obcina@dobrovnik.si,"Dobrovnik 297, 9223 Dobrovnik - Dobronak",", KRAJEVNA SKUPNOST DOBROVNIK - DOBRONAKI HELYI KOZOSSEG"
KRAJEVNA SKUPNOST SPODNJI LOG,KRAJEVNA SKUPNOST SPODNJI LOG,obcina.litija@litija.si,"Spodnji Log 16, 1282 Sava",", KRAJEVNA SKUPNOST SPODNJI LOG"
KRAJEVNA SKUPNOST JASEN,KRAJEVNA SKUPNOST JASEN,obcina.ilirska-bistrica@ilirska-bistrica.si,"Jasen 15 A, 6250 Ilirska Bistrica",", KRAJEVNA SKUPNOST JASEN"
KRAJEVNA SKUPNOST OLIMJE,KRAJEVNA SKUPNOST OLIMJE,tajnistvo.obcina@podcetrtek.si,"Olimje 82, 3254 Podčetrtek",", KRAJEVNA SKUPNOST OLIMJE"
KRAJEVNA SKUPNOST ŠENTVID,KRAJEVNA SKUPNOST ŠENTVID,obcina@sostanj.si,"Šentvid pri Zavodnju 6, 3325 Šoštanj",", KRAJEVNA SKUPNOST ŠENTVID"
KRAJEVNA SKUPNOST POBREŽJE,KRAJEVNA SKUPNOST POBREŽJE,info@videm.si,"Pobrežje 104 A, 2284 Videm pri Ptuju",", KRAJEVNA SKUPNOST POBREŽJE"
KRAJEVNA SKUPNOST SOVIČE-DRAVCI-VAREJA,KRAJEVNA SKUPNOST SOVIČE-DRAVCI-VAREJA,info@videm.si,"Soviče 5 A, 2284 Videm pri Ptuju",", KRAJEVNA SKUPNOST SOVIČE-DRAVCI-VAREJA"
KRAJEVNA SKUPNOST TRŽEC,KRAJEVNA SKUPNOST TRŽEC,info@videm.si,"Tržec 47, 2284 Videm pri Ptuju",", KRAJEVNA SKUPNOST TRŽEC"
KRAJEVNA SKUPNOST LANCOVA VAS,KRAJEVNA SKUPNOST LANCOVA VAS,info@videm.si,"Lancova vas 54, 2284 Videm pri Ptuju",", KRAJEVNA SKUPNOST LANCOVA VAS"
KRAJEVNA SKUPNOST OTOK,KRAJEVNA SKUPNOST OTOK,ks.begunje@siol.net,"Zgornji Otok 6 A, 4240 Radovljica",", KRAJEVNA SKUPNOST OTOK"
KRAJEVNA SKUPNOST LEVEC,KRAJEVNA SKUPNOST LEVEC,kslevec@gmail.com,"Levec 25 A, 3301 Petrovče",", KRAJEVNA SKUPNOST LEVEC"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠIŠKA,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠIŠKA,mol.siska@ljubljana.si,"Kebetova ulica 1, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠIŠKA"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST GOLOVEC,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST GOLOVEC,mol.golovec@ljubljana.si,"Litijska cesta 38, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST GOLOVEC"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST JARŠE,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST JARŠE,mol.jarse@ljubljana.si,"Kvedrova cesta 32, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST JARŠE"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST POLJE,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST POLJE,mol.polje@ljubljana.si,"Polje 12, 1260 Ljubljana - Polje",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST POLJE"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠMARNA GORA,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠMARNA GORA,mol.smarnagora@ljubljana.si,"Pločanska ulica 8, 1211 Ljubljana - Šmartno",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠMARNA GORA"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST VIČ,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST VIČ,mol.vic@ljubljana.si,"Tbilisijska ulica 22 A, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST VIČ"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ROŽNIK,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ROŽNIK,mol.roznik@ljubljana.si,"Viška cesta 38, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ROŽNIK"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST POSAVJE,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST POSAVJE,mol.posavje@ljubljana.si,"Bratovševa ploščad 30, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST POSAVJE"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST RUDNIK,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST RUDNIK,mol.rudnik@ljubljana.si,"Pot k ribniku 20, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST RUDNIK"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠENTVID,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠENTVID,mol.sentvid@ljubljana.si,"Prušnikova ulica 106, 1210 Ljubljana - Šentvid",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ŠENTVID"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST BEŽIGRAD,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST BEŽIGRAD,mol.bezigrad@ljubljana.si,"Vojkova cesta 1, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST BEŽIGRAD"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST DRAVLJE,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST DRAVLJE,mol.dravlje@ljubljana.si,"Draveljska ulica 44, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST DRAVLJE"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST MOSTE,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST MOSTE,mol.moste@ljubljana.si,"Ob Ljubljanici 36 A, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST MOSTE"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST CENTER,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST CENTER,mol.center@ljubljana.si,"Štefanova ulica 9, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST CENTER"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST TRNOVO,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST TRNOVO,mol.trnovo@ljubljana.si,"Devinska ulica 1 B, 1000 Ljubljana",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST TRNOVO"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST SOSTRO,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST SOSTRO,mol.sostro@ljubljana.si,"Cesta II. grupe odredov 43, 1261 Ljubljana - Dobrunje",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST SOSTRO"
MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ČRNUČE,MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ČRNUČE,mol.crnuce@ljubljana.si,"Dunajska cesta 367, 1231 Ljubljana - Črnuče",", MESTNA OBČINA LJUBLJANA ČETRTNA SKUPNOST ČRNUČE"
KRAJEVNA SKUPNOST HRASTJE,KRAJEVNA SKUPNOST HRASTJE,obcina.kranj@kranj.si,"Hrastje 209, 4000 Kranj",", KRAJEVNA SKUPNOST HRASTJE"
KRAJEVNA SKUPNOST PEČICE,KRAJEVNA SKUPNOST PEČICE,ivanka.germsek@gmail.com,"Pečice 33, 3257 Podsreda",", KRAJEVNA SKUPNOST PEČICE"
KRAJEVNA SKUPNOST ČERNELAVCI,KRAJEVNA SKUPNOST ČERNELAVCI,mestna.obcina@murska-sobota.si,"Zadružna ulica 5, 9000 Murska Sobota",", KRAJEVNA SKUPNOST ČERNELAVCI"
KRAJEVNA SKUPNOST KUPŠINCI,KRAJEVNA SKUPNOST KUPŠINCI,mestna.obcina@murska-sobota.si,"Kupšinci 49, 9000 Murska Sobota",", KRAJEVNA SKUPNOST KUPŠINCI"
KRAJEVNA SKUPNOST POLANA,KRAJEVNA SKUPNOST POLANA,mestna.obcina@murska-sobota.si,"Polana 12 A, 9000 Murska Sobota",", KRAJEVNA SKUPNOST POLANA"
KRAJEVNA SKUPNOST VEŠČICA,KRAJEVNA SKUPNOST VEŠČICA,mestna.obcina@murska-sobota.si,"Veščica 25, 9000 Murska Sobota",", KRAJEVNA SKUPNOST VEŠČICA"
KRAJEVNA SKUPNOST PUŠČA,KRAJEVNA SKUPNOST PUŠČA,mestna.obcina@murska-sobota.si,"Ulica ob kapelici 63 Z, 9000 Murska Sobota",", KRAJEVNA SKUPNOST PUŠČA"
KRAJEVNA SKUPNOST KARTELJEVO,KRAJEVNA SKUPNOST KARTELJEVO,ks.karteljevo@novomesto.si,"Dolenje Karteljevo 29, 8000 Novo mesto",", KRAJEVNA SKUPNOST KARTELJEVO"
KRAJEVNA SKUPNOST LOŽE,KRAJEVNA SKUPNOST LOŽE,obcina.vipava@siol.net,"Lože 53, 5271 Vipava",", KRAJEVNA SKUPNOST LOŽE"
KRAJEVNA SKUPNOST MANČE,KRAJEVNA SKUPNOST MANČE,ks.mance@gmail.com,"Lože 53, 5271 Vipava",", KRAJEVNA SKUPNOST MANČE"
KRAJEVNA SKUPNOST KAVČE,KRAJEVNA SKUPNOST KAVČE,info@velenje.si,"Kavče 29, 3320 Velenje",", KRAJEVNA SKUPNOST KAVČE"
KRAJEVNA SKUPNOST PODKRAJ,KRAJEVNA SKUPNOST PODKRAJ,info@velenje.si,"Podkraj pri Velenju 7 C, 3320 Velenje",", KRAJEVNA SKUPNOST PODKRAJ"
KRAJEVNA SKUPNOST BREG - TENETIŠE,KRAJEVNA SKUPNOST BREG - TENETIŠE,obcina.litija@litija.si,"Breg pri Litiji 2, 1270 Litija",", KRAJEVNA SKUPNOST BREG - TENETIŠE"
KRAJEVNA SKUPNOST IDRIJA PRI BAČI,KRAJEVNA SKUPNOST IDRIJA PRI BAČI,ks.idrija-pri-baci@tolmin.si,"Idrija pri Bači 20, 5216 Most na Soči",", KRAJEVNA SKUPNOST IDRIJA PRI BAČI"
KRAJEVNA SKUPNOST SLAVINA,KRAJEVNA SKUPNOST SLAVINA,obcina@postojna.si,"Slavina 31, 6258 Prestranek",", KRAJEVNA SKUPNOST SLAVINA"
KRAJEVNA SKUPNOST ŠENTLAMBERT,KRAJEVNA SKUPNOST ŠENTLAMBERT,kssentlambert@gmail.com,"Šentlambert 9, 1410 Zagorje ob Savi",", KRAJEVNA SKUPNOST ŠENTLAMBERT"
KRAJEVNA SKUPNOST TIRNA,KRAJEVNA SKUPNOST TIRNA,tirnaks@gmail.com,"Tirna 16, 1282 Sava",", KRAJEVNA SKUPNOST TIRNA"
KRAJEVNA SKUPNOST REČICA,KRAJEVNA SKUPNOST REČICA,obcina@bled.si,"Rečiška cesta 4, 4260 Bled",", KRAJEVNA SKUPNOST REČICA"
KRAJEVNA SKUPNOST OREHEK,KRAJEVNA SKUPNOST OREHEK,obcina@postojna.si,"Orehek 58, 6258 Prestranek",", KRAJEVNA SKUPNOST OREHEK"
KRAJEVNA SKUPNOST SATAHOVCI,KRAJEVNA SKUPNOST SATAHOVCI,mestna.obcina@murska-sobota.si,"Satahovci 26, 9000 Murska Sobota",", KRAJEVNA SKUPNOST SATAHOVCI"
KRAJEVNA SKUPNOST TRIMLINI,KRAJEVNA SKUPNOST TRIMLINI,obcina@lendava.si,"Trimlini 33, 9220 Lendava - Lendva",", KRAJEVNA SKUPNOST TRIMLINI"
MESTNA OBČINA PTUJ ČETRTNA SKUPNOST SPUHLJA,MESTNA OBČINA PTUJ ČETRTNA SKUPNOST SPUHLJA,obcina.ptuj@ptuj.si,"Spuhlja 12 A, 2250 Ptuj",", MESTNA OBČINA PTUJ ČETRTNA SKUPNOST SPUHLJA"
KRAJEVNA SKUPNOST ŠENTJUR - RIFNIK,KRAJEVNA SKUPNOST ŠENTJUR - RIFNIK,gorazd.bebar.ks@gmail.com,"Mestni trg 10, 3230 Šentjur",", KRAJEVNA SKUPNOST ŠENTJUR - RIFNIK"
KRAJEVNA SKUPNOST VRBNO - PODGRAD,KRAJEVNA SKUPNOST VRBNO - PODGRAD,ks.vrbno.podgrad@gmail.com,"Mestni trg 2, 3230 Šentjur",", KRAJEVNA SKUPNOST VRBNO - PODGRAD"
KRAJEVNA SKUPNOST GROBELNO,KRAJEVNA SKUPNOST GROBELNO,matevz.globocnik.ks@gmail.com,"Tratna pri Grobelnem 46, 3231 Grobelno",", KRAJEVNA SKUPNOST GROBELNO"
KRAJEVNA SKUPNOST DOLGA GORA,KRAJEVNA SKUPNOST DOLGA GORA,matevz.globocnik.ks@gmail.com,"Dolga Gora 50 B, 3232 Ponikva",", KRAJEVNA SKUPNOST DOLGA GORA"
KRAJEVNA SKUPNOST SPODNJI STARI GRAD - SPODNJA LIBNA,KRAJEVNA SKUPNOST SPODNJI STARI GRAD - SPODNJA LIBNA,ks.ssgrad-slibna@krsko.si,"Spodnji Stari Grad 64, 8270 Krško",", KRAJEVNA SKUPNOST SPODNJI STARI GRAD - SPODNJA LIBNA"
KRAJEVNA SKUPNOST OREHOVLJE,KRAJEVNA SKUPNOST OREHOVLJE,dumiren@gmail.com,"Orehovlje 40 A, 5291 Miren",", KRAJEVNA SKUPNOST OREHOVLJE"
KRAJEVNA SKUPNOST KANIŽARICA,KRAJEVNA SKUPNOST KANIŽARICA,info@kanizarica.si,,", KRAJEVNA SKUPNOST KANIŽARICA"
KRAJEVNA SKUPNOST KRASINEC,KRAJEVNA SKUPNOST KRASINEC,obcina.metlika@siol.net,"Krasinec 999, 8332 Gradac",", KRAJEVNA SKUPNOST KRASINEC"
OBČINA SLOVENSKA BISTRICA KRAJEVNA SKUPNOST LESKOVEC - STARI LOG,OBČINA SLOVENSKA BISTRICA KRAJEVNA SKUPNOST LESKOVEC - STARI LOG,ks.leskovec-starilog@siol.net,"Leskovec 67, 2331 Pragersko",", OBČINA SLOVENSKA BISTRICA KRAJEVNA SKUPNOST LESKOVEC - STARI LOG"
KRAJEVNA SKUPNOST BRŠLJIN NOVO MESTO,KRAJEVNA SKUPNOST BRŠLJIN NOVO MESTO,ks.brsljin@novomesto.si,"Klemenčičeva ulica 13, 8000 Novo mesto",", KRAJEVNA SKUPNOST BRŠLJIN NOVO MESTO"
KRAJEVNA SKUPNOST ZAPLANA,KRAJEVNA SKUPNOST ZAPLANA,obcina.vrhnika@vrhnika.si,"Zaplana 25, 1360 Vrhnika",", KRAJEVNA SKUPNOST ZAPLANA"
KRAJEVNA SKUPNOST PODKUM,KRAJEVNA SKUPNOST PODKUM,ks.podkum@gmail.com,"Podkum 16, 1414 Podkum",", KRAJEVNA SKUPNOST PODKUM"
KRAJEVNA SKUPNOST STARA VRHNIKA,KRAJEVNA SKUPNOST STARA VRHNIKA,obcina.vrhnika@vrhnika.si,"Stara Vrhnika 107 A, 1360 Vrhnika",", KRAJEVNA SKUPNOST STARA VRHNIKA"
KRAJEVNA SKUPNOST MLAČEVO,KRAJEVNA SKUPNOST MLAČEVO,svetila.svetek@siol.net,"Veliko Mlačevo 6 A, 1290 Grosuplje",", KRAJEVNA SKUPNOST MLAČEVO"
KRAJEVNA SKUPNOST KOTREDEŽ,KRAJEVNA SKUPNOST KOTREDEŽ,občina.zagorje@zagorje.si,"Kotredež 12 A, 1410 Zagorje ob Savi",", KRAJEVNA SKUPNOST KOTREDEŽ"
KRAJEVNA SKUPNOST PODLIPA-SMREČJE,KRAJEVNA SKUPNOST PODLIPA-SMREČJE,obcina.vrhnika@vrhnika.si,"Smrečje 7, 1360 Vrhnika",", KRAJEVNA SKUPNOST PODLIPA-SMREČJE"
KRAJEVNA SKUPNOST GOTOVLJE,KRAJEVNA SKUPNOST GOTOVLJE,krajevna.skupnost.gotovlje@siol.net,"Gotovlje 40, 3310 Žalec",", KRAJEVNA SKUPNOST GOTOVLJE"
KRAJEVNA SKUPNOST LIGOJNA,KRAJEVNA SKUPNOST LIGOJNA,obcina.vrhnika@vrhnika.si,"Velika Ligojna 35, 1360 Vrhnika",", KRAJEVNA SKUPNOST LIGOJNA"
KRAJEVNA SKUPNOST BATUJE,KRAJEVNA SKUPNOST BATUJE,obcina@ajdovscina.si,"Batuje 5, 5262 Črniče",", KRAJEVNA SKUPNOST BATUJE"
KRAJEVNA SKUPNOST BRJE,KRAJEVNA SKUPNOST BRJE,obcina@ajdovscina.si,"Brje 41, 5263 Dobravlje",", KRAJEVNA SKUPNOST BRJE"
KRAJEVNA SKUPNOST GABERJE,KRAJEVNA SKUPNOST GABERJE,obcina@ajdovscina.si,"Gaberje 37, 6222 Štanjel",", KRAJEVNA SKUPNOST GABERJE"
KRAJEVNA SKUPNOST OTLICA-KOVK,KRAJEVNA SKUPNOST OTLICA-KOVK,obcina@ajdovscina.si,"Otlica 73, 5270 Ajdovščina",", KRAJEVNA SKUPNOST OTLICA-KOVK"
KRAJEVNA SKUPNOST PODKRAJ,KRAJEVNA SKUPNOST PODKRAJ,obcina@ajdovscina.si,"Podkraj 27 A, 5273 Col",", KRAJEVNA SKUPNOST PODKRAJ"
KRAJEVNA SKUPNOST PODNANOS,KRAJEVNA SKUPNOST PODNANOS,rosa.darko@gmail.com,"Podnanos 71, 5272 Podnanos",", KRAJEVNA SKUPNOST PODNANOS"
KRAJEVNA SKUPNOST BREŽICE,KRAJEVNA SKUPNOST BREŽICE,ks.brezice@gmail.com,"Cesta prvih borcev 18, 8250 Brežice",", KRAJEVNA SKUPNOST BREŽICE"
KRAJEVNA SKUPNOST ČATEŽ OB SAVI,KRAJEVNA SKUPNOST ČATEŽ OB SAVI,catez.ks@siol.net,"Čateška ulica 3, 8250 Brežice",", KRAJEVNA SKUPNOST ČATEŽ OB SAVI"
KRAJEVNA SKUPNOST SROMLJE,KRAJEVNA SKUPNOST SROMLJE,jozica.verstovsek@siol.net,"Sromlje 5, 8256 Sromlje",", KRAJEVNA SKUPNOST SROMLJE"
MESTNA OBČINA CELJE MESTNA ČETRT DOLGO POLJE,MESTNA OBČINA CELJE MESTNA ČETRT DOLGO POLJE,dolgopoljemc@siol.net,"Brodarjeva ulica 4, 3000 Celje",", MESTNA OBČINA CELJE MESTNA ČETRT DOLGO POLJE"
MESTNA OBČINA CELJE MESTNA ČETRT GABERJE,MESTNA OBČINA CELJE MESTNA ČETRT GABERJE,gaberje@t-1.si,"Kidričeva ulica 3, 3000 Celje",", MESTNA OBČINA CELJE MESTNA ČETRT GABERJE"
MESTNA OBČINA CELJE MESTNA ČETRT KAJUH CELJE,MESTNA OBČINA CELJE MESTNA ČETRT KAJUH CELJE,mckajuh@siol.net,"Malgajeva ulica 4, 3000 Celje",", MESTNA OBČINA CELJE MESTNA ČETRT KAJUH CELJE"
MESTNA OBČINA CELJE KRAJEVNA SKUPNOST MEDLOG,MESTNA OBČINA CELJE KRAJEVNA SKUPNOST MEDLOG,ksmedlog@siol.net,"Babno 3 A, 3000 Celje",", MESTNA OBČINA CELJE KRAJEVNA SKUPNOST MEDLOG"
KRAJEVNA SKUPNOST FRANKOLOVO,KRAJEVNA SKUPNOST FRANKOLOVO,ks-frankolovo@amis.net,"Stražica 2, 3213 Frankolovo",", KRAJEVNA SKUPNOST FRANKOLOVO"
KRAJEVNA SKUPNOST DOBRAVLJE,KRAJEVNA SKUPNOST DOBRAVLJE,obcina@ajdovscina.si,"Dobravlje 34 A, 5263 Dobravlje",", KRAJEVNA SKUPNOST DOBRAVLJE"
KRAJEVNA SKUPNOST ARTIČE,KRAJEVNA SKUPNOST ARTIČE,ks.artice@amis.net,"Artiče 38, 8253 Artiče",", KRAJEVNA SKUPNOST ARTIČE"
KRAJEVNA SKUPNOST CERKLJE OB KRKI,KRAJEVNA SKUPNOST CERKLJE OB KRKI,ks.cerklje@tusmobil.club,"Cerklje ob Krki 2 B, 8263 Cerklje ob Krki",", KRAJEVNA SKUPNOST CERKLJE OB KRKI"
KRAJEVNA SKUPNOST PIŠECE,KRAJEVNA SKUPNOST PIŠECE,ks.pisece@siol.net,"Pišece 13, 8255 Pišece",", KRAJEVNA SKUPNOST PIŠECE"
KRAJEVNA SKUPNOST VINICA,KRAJEVNA SKUPNOST VINICA,ksvinica@gmail.com,"Vinica 44, 8344 Vinica",", KRAJEVNA SKUPNOST VINICA"
KRAJEVNA SKUPNOST BLAGOVICA,KRAJEVNA SKUPNOST BLAGOVICA,info@lukovica.si,"Blagovica 7, 1223 Blagovica",", KRAJEVNA SKUPNOST BLAGOVICA"
KRAJEVNA SKUPNOST LUKOVICA,KRAJEVNA SKUPNOST LUKOVICA,ks.lukovica@siol.net,"Stari trg 1, 1225 Lukovica",", KRAJEVNA SKUPNOST LUKOVICA"
