Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"ZASEBNA INTERNISTIČNO-PULMOLOŠKA AMBULANTA KATA PAUN, DR. MED. SPECIALIST INTERNIST","ZASEBNA INTERNISTIČNO-PULMOLOŠKA AMBULANTA KATA PAUN, DR. MED. SPECIALIST INTERNIST",,"Zadružna cesta 33, 8340 Črnomelj",", ZASEBNA INTERNISTIČNO-PULMOLOŠKA AMBULANTA KATA PAUN, DR. MED. SPECIALIST INTERNIST"
DORN ROBERT - IZVRŠITELJ,DORN ROBERT - IZVRŠITELJ,,"Cesta krških žrtev 30, 8270 Krško",", DORN ROBERT - IZVRŠITELJ"
LAVRENČIČ VIOLANDA - SPLOŠNO ZOBOZDRAVSTVO,LAVRENČIČ VIOLANDA - SPLOŠNO ZOBOZDRAVSTVO,,"Slovenska cesta 7, 1354 Horjul",", LAVRENČIČ VIOLANDA - SPLOŠNO ZOBOZDRAVSTVO"
PIRC JANJA - AMBULANTA SPLOŠNE MEDICINE,PIRC JANJA - AMBULANTA SPLOŠNE MEDICINE,,"Slovenska cesta 17, 1354 Horjul",", PIRC JANJA - AMBULANTA SPLOŠNE MEDICINE"
RŽEK IVAN - SPECIALISTIČNA AMBULANTA,RŽEK IVAN - SPECIALISTIČNA AMBULANTA,,"Prečna ulica 2, 6230 Postojna",", RŽEK IVAN - SPECIALISTIČNA AMBULANTA"
ŠVENT BEATRIX MARGARET - ZASEBNA ORDINACIJA,ŠVENT BEATRIX MARGARET - ZASEBNA ORDINACIJA,,"Prečna ulica 2, 6230 Postojna",", ŠVENT BEATRIX MARGARET - ZASEBNA ORDINACIJA"
JERŠE DARKO - NOTAR,JERŠE DARKO - NOTAR,,"Prešernova ulica 1, 6230 Postojna",", JERŠE DARKO - NOTAR"
ORTOPEDSKA ORDINACIJA DR. KOSOVINC SAŠA,ORTOPEDSKA ORDINACIJA DR. KOSOVINC SAŠA,,"Korytkova ulica 29, 1000 Ljubljana",", ORTOPEDSKA ORDINACIJA DR. KOSOVINC SAŠA"
RAČUNOVODSKI SERVIS TATJANA LENKO S.P.,RAČUNOVODSKI SERVIS TATJANA LENKO S.P.,,"Jarmovec 5, 3222 Dramlje",", RAČUNOVODSKI SERVIS TATJANA LENKO S.P."
GASILSKA ZVEZA KIDRIČEVO,GASILSKA ZVEZA KIDRIČEVO,,"Ulica Borisa Kraigherja 25, 2325 Kidričevo",", GASILSKA ZVEZA KIDRIČEVO"
Gasilska zveza Videm,Gasilska zveza Videm,,"Videm pri Ptuju 51 A, 2284 Videm pri Ptuju",", Gasilska zveza Videm"
ČERMELJ LAURA - NOTARKA,ČERMELJ LAURA - NOTARKA,,"Tovarniška cesta 4 A, 5270 Ajdovščina",", ČERMELJ LAURA - NOTARKA"
"ALMAJA proizvodnja, storitve in trgovina d.o.o.","ALMAJA proizvodnja, storitve in trgovina d.o.o.",,"Jurovska cesta 23, 2230 Lenart v Slov. goricah",", ALMAJA proizvodnja, storitve in trgovina d.o.o."
"PS RAJ, proizvodnja, trgovina, storitve, d.o.o.","PS RAJ, proizvodnja, trgovina, storitve, d.o.o.",,"Arclin 21 A, 3211 Škofja vas",", PS RAJ, proizvodnja, trgovina, storitve, d.o.o."
"TERME MARIBOR, turizem, zdravstvo, rekreacija, d.o.o.","TERME MARIBOR, turizem, zdravstvo, rekreacija, d.o.o.",,"Ulica heroja Šlandra 10, 2000 Maribor",", TERME MARIBOR, turizem, zdravstvo, rekreacija, d.o.o."
NOTARKA MAG. NINA ČEŠAREK,NOTARKA MAG. NINA ČEŠAREK,,"Trg zbora odposlancev 66, 1330 Kočevje",", NOTARKA MAG. NINA ČEŠAREK"
FERLIGOJ DRAVO - NOTAR,FERLIGOJ DRAVO - NOTAR,,"Ferrarska ulica 14, 6000 Koper - Capodistria",", FERLIGOJ DRAVO - NOTAR"
PINTAR VOJKO - NOTAR,PINTAR VOJKO - NOTAR,,"Nazorjeva ulica 1, 4000 Kranj",", PINTAR VOJKO - NOTAR"
LEŠNIK MILOŠ - NOTAR,LEŠNIK MILOŠ - NOTAR,,"Trg osvoboditve 15, 2230 Lenart v Slov. goricah",", LEŠNIK MILOŠ - NOTAR"
BREGAR MIRO - NOTAR,BREGAR MIRO - NOTAR,,"Ulica Mire Pregljeve 4, 1270 Litija",", BREGAR MIRO - NOTAR"
TORY NEVENKA - NOTARKA,TORY NEVENKA - NOTARKA,,"Beethovnova ulica 14, 1000 Ljubljana",", TORY NEVENKA - NOTARKA"
KUMAR NADA - NOTARKA,KUMAR NADA - NOTARKA,,"Slovenska cesta 56, 1000 Ljubljana",", KUMAR NADA - NOTARKA"
PODGORŠEK BOJAN - NOTAR,PODGORŠEK BOJAN - NOTAR,,"Dalmatinova ulica 2, 1000 Ljubljana",", PODGORŠEK BOJAN - NOTAR"
RUŽIČ TRATNIK MARINA - NOTARKA,RUŽIČ TRATNIK MARINA - NOTARKA,,"Šmartinska cesta 111, 1000 Ljubljana",", RUŽIČ TRATNIK MARINA - NOTARKA"
GOROGRANC TEODOR - ZOBNA ORDINACIJA,GOROGRANC TEODOR - ZOBNA ORDINACIJA,,"Prisojna pot 10, 6000 Koper - Capodistria",", GOROGRANC TEODOR - ZOBNA ORDINACIJA"
"SPECIALISTIČNA PEDIATRIČNA ORDINACIJA DORA JELER, dr. med.","SPECIALISTIČNA PEDIATRIČNA ORDINACIJA DORA JELER, dr. med.",,"Eipprova ulica 3, 1000 Ljubljana",", SPECIALISTIČNA PEDIATRIČNA ORDINACIJA DORA JELER, dr. med."
URANKAR LUDVIK - FIZIOTERAPIJA,URANKAR LUDVIK - FIZIOTERAPIJA,,"Ulica OF 8, 1433 Radeče",", URANKAR LUDVIK - FIZIOTERAPIJA"
"IZTOK KRIŽNAR, DR. DENT. MED. SPECIALIST STOMATOLOŠKE PROTETIKE","IZTOK KRIŽNAR, DR. DENT. MED. SPECIALIST STOMATOLOŠKE PROTETIKE",,"Gosposvetska ulica 10 A, 4000 Kranj",", IZTOK KRIŽNAR, DR. DENT. MED. SPECIALIST STOMATOLOŠKE PROTETIKE"
"ADES, zobozdravstvene storitve, d.o.o.","ADES, zobozdravstvene storitve, d.o.o.",,"Tržaška cesta 118, 1000 Ljubljana",", ADES, zobozdravstvene storitve, d.o.o."
"ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti","ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti",,"Dečkova cesta 1, 3000 Celje",", ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti"
ŠKRK JOŽICA - NOTARKA,ŠKRK JOŽICA - NOTARKA,,"Trg svobode 26, 2310 Slovenska Bistrica",", ŠKRK JOŽICA - NOTARKA"
NOVAK DARIJ - DOKTOR STOMATOLOGIJE,NOVAK DARIJ - DOKTOR STOMATOLOGIJE,,"Ulica tolminskih puntarjev 4, 5000 Nova Gorica",", NOVAK DARIJ - DOKTOR STOMATOLOGIJE"
MILAKOVIĆ RANKO - DEJAVNOST SPLOŠNE MEDICINE,MILAKOVIĆ RANKO - DEJAVNOST SPLOŠNE MEDICINE,,"Ptujska cesta 48, 2331 Pragersko",", MILAKOVIĆ RANKO - DEJAVNOST SPLOŠNE MEDICINE"
"ZASEBNI ZDRAVSTVENI DELAVEC SPECIALIST MEDICINE DELA, PROMETA IN ŠPORTA-DUŠANKA JANEŽIČ-AMBULANTA JANEŽIČ BLATNIK DUŠANKA","ZASEBNI ZDRAVSTVENI DELAVEC SPECIALIST MEDICINE DELA, PROMETA IN ŠPORTA-DUŠANKA JANEŽIČ-AMBULANTA JANEŽIČ BLATNIK DUŠANKA",,"Stanetova cesta 45, 3320 Velenje",", ZASEBNI ZDRAVSTVENI DELAVEC SPECIALIST MEDICINE DELA, PROMETA IN ŠPORTA-DUŠANKA JANEŽIČ-AMBULANTA JANEŽIČ BLATNIK DUŠANKA"
BERNHARDT HERBERT - KARDIOLOŠKA AMBULANTA,BERNHARDT HERBERT - KARDIOLOŠKA AMBULANTA,,"Cankarjeva ulica 60, 5000 Nova Gorica",", BERNHARDT HERBERT - KARDIOLOŠKA AMBULANTA"
"ŠADL MARJAN DR.MED., SPEC.INT.PULMOLOG - PULMOLOŠKO INTERNISTIČNA AMBULANTA","ŠADL MARJAN DR.MED., SPEC.INT.PULMOLOG - PULMOLOŠKO INTERNISTIČNA AMBULANTA",,"Ulica Vinka Vodopivca 21, 5000 Nova Gorica",", ŠADL MARJAN DR.MED., SPEC.INT.PULMOLOG - PULMOLOŠKO INTERNISTIČNA AMBULANTA"
ZOBNA ORDINACIJA BOJAN BREZAVŠČEK DR.DENT.MED.,ZOBNA ORDINACIJA BOJAN BREZAVŠČEK DR.DENT.MED.,,"Ulica Gradnikove brigade 7, 5000 Nova Gorica",", ZOBNA ORDINACIJA BOJAN BREZAVŠČEK DR.DENT.MED."
ŽIČKAR ALOJZ - SPECIALIST OFTALMOLOGIJE,ŽIČKAR ALOJZ - SPECIALIST OFTALMOLOGIJE,,"Vodnikova cesta 1, 3320 Velenje",", ŽIČKAR ALOJZ - SPECIALIST OFTALMOLOGIJE"
"ARISTOTEL, zdravstveni center d.o.o.","ARISTOTEL, zdravstveni center d.o.o.",,"Ulica Ilije Gregoriča 18 A, 8270 Krško",", ARISTOTEL, zdravstveni center d.o.o."
"AKD družba za medicinske storitve, d.o.o.","AKD družba za medicinske storitve, d.o.o.",,"Ukmarjeva ulica 4, 1000 Ljubljana",", AKD družba za medicinske storitve, d.o.o."
JEVŠEK BOŽIDAR - ANTON - DOKTOR STOMATOLOGIJE,JEVŠEK BOŽIDAR - ANTON - DOKTOR STOMATOLOGIJE,,"Kidričeva cesta 57, 3320 Velenje",", JEVŠEK BOŽIDAR - ANTON - DOKTOR STOMATOLOGIJE"
"SPECIALISTIČNA ORDINACIJA ZA ZOBNE, USTNE BOLEZNI IN PARODONTOLOGIJO VASILIJ VENDRAMIN DR.DENT.MED.","SPECIALISTIČNA ORDINACIJA ZA ZOBNE, USTNE BOLEZNI IN PARODONTOLOGIJO VASILIJ VENDRAMIN DR.DENT.MED.",,"Ulica tolminskih puntarjev 4, 5000 Nova Gorica",", SPECIALISTIČNA ORDINACIJA ZA ZOBNE, USTNE BOLEZNI IN PARODONTOLOGIJO VASILIJ VENDRAMIN DR.DENT.MED."
SREČKO HERLIČ - ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA,SREČKO HERLIČ - ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA,,"Trg Alfonza Šarha 18, 2310 Slovenska Bistrica",", SREČKO HERLIČ - ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA"
DOMANOVIĆ MIROSLAVA - ULTRAZVOK SPECIALISTIČNA ORDINACIJA,DOMANOVIĆ MIROSLAVA - ULTRAZVOK SPECIALISTIČNA ORDINACIJA,,"Cvetkova ulica 10, 9000 Murska Sobota",", DOMANOVIĆ MIROSLAVA - ULTRAZVOK SPECIALISTIČNA ORDINACIJA"
OČESNA AMBULANTA KIRALY LUDVIK DR.MED.,OČESNA AMBULANTA KIRALY LUDVIK DR.MED.,,"Mlinska ulica 7, 9220 Lendava - Lendva",", OČESNA AMBULANTA KIRALY LUDVIK DR.MED."
REPOLUSK EDVARD - PSIHIATRIČNA AMBULANTA,REPOLUSK EDVARD - PSIHIATRIČNA AMBULANTA,,"Glavni trg 21, 4000 Kranj",", REPOLUSK EDVARD - PSIHIATRIČNA AMBULANTA"
RADIOMED svetovanje in servisna dejavnost s področja radiologije in ultrazvoka d.o.o.,RADIOMED svetovanje in servisna dejavnost s področja radiologije in ultrazvoka d.o.o.,,"Ob ribniku 95, 2000 Maribor",", RADIOMED svetovanje in servisna dejavnost s področja radiologije in ultrazvoka d.o.o."
DR.PAVŠIČ zobozdravstvena dejavnost d.o.o.,DR.PAVŠIČ zobozdravstvena dejavnost d.o.o.,,"Litijska cesta 43, 1000 Ljubljana",", DR.PAVŠIČ zobozdravstvena dejavnost d.o.o."
POGREBNA DEJAVNOST IN CVETLIČARNA HIACINTA DUŠAN BRATUŠA S.P.,POGREBNA DEJAVNOST IN CVETLIČARNA HIACINTA DUŠAN BRATUŠA S.P.,,"Vogričevci 18 A, 9240 Ljutomer",", POGREBNA DEJAVNOST IN CVETLIČARNA HIACINTA DUŠAN BRATUŠA S.P."
MEDICINA DELA ROGAŠKA d.o.o.,MEDICINA DELA ROGAŠKA d.o.o.,,"Celjska cesta 10, 3250 Rogaška Slatina",", MEDICINA DELA ROGAŠKA d.o.o."
"LOKALNI POSPEŠEVALNI CENTER PIVKA, USTANOVA ZA POSPEŠEVANJE RAZVOJA GOSPODARSTVA, KMETIJSTVA IN TURIZMA V OBČINI PIVKA","LOKALNI POSPEŠEVALNI CENTER PIVKA, USTANOVA ZA POSPEŠEVANJE RAZVOJA GOSPODARSTVA, KMETIJSTVA IN TURIZMA V OBČINI PIVKA",,"Kolodvorska cesta 5, 6257 Pivka",", LOKALNI POSPEŠEVALNI CENTER PIVKA, USTANOVA ZA POSPEŠEVANJE RAZVOJA GOSPODARSTVA, KMETIJSTVA IN TURIZMA V OBČINI PIVKA"
"DOLENC JANEZ - ZASEBNA AMBULANTA MEDICINE DELA, PROMETA IN ŠPORTA TER SPLOŠNE MEDICINE","DOLENC JANEZ - ZASEBNA AMBULANTA MEDICINE DELA, PROMETA IN ŠPORTA TER SPLOŠNE MEDICINE",,"Stara cesta 10, 4220 Škofja Loka",", DOLENC JANEZ - ZASEBNA AMBULANTA MEDICINE DELA, PROMETA IN ŠPORTA TER SPLOŠNE MEDICINE"
"CAMLEK TOMAŽ - ZASEBNA SPECIALISTIČNA AMBULANTA, INTERNA MEDICINA S PULMOLOGIJO IN DEABETOLOGIJO","CAMLEK TOMAŽ - ZASEBNA SPECIALISTIČNA AMBULANTA, INTERNA MEDICINA S PULMOLOGIJO IN DEABETOLOGIJO",,"Stara cesta 10, 4220 Škofja Loka",", CAMLEK TOMAŽ - ZASEBNA SPECIALISTIČNA AMBULANTA, INTERNA MEDICINA S PULMOLOGIJO IN DEABETOLOGIJO"
PUSTOVRH BOJAN - SPECIALIST INTERNIST,PUSTOVRH BOJAN - SPECIALIST INTERNIST,,"Aškerčeva ulica 1, 3000 Celje",", PUSTOVRH BOJAN - SPECIALIST INTERNIST"
NEUDAUER-RESNIK LJUBA - SPECIALIST IZ OFTALMOLOGIJE,NEUDAUER-RESNIK LJUBA - SPECIALIST IZ OFTALMOLOGIJE,,"Panonska ulica 5, 2250 Ptuj",", NEUDAUER-RESNIK LJUBA - SPECIALIST IZ OFTALMOLOGIJE"
PETRUŠA ANDREJ - P.3. ORDINACIJA ZA KLINIČNO PSIHOLOGIJO,PETRUŠA ANDREJ - P.3. ORDINACIJA ZA KLINIČNO PSIHOLOGIJO,,"Cesta v Mestni log 55, 1000 Ljubljana",", PETRUŠA ANDREJ - P.3. ORDINACIJA ZA KLINIČNO PSIHOLOGIJO"
"ZASEBNA SPECIALISTIČNA AMBULANTA ZA DUŠEVNO ZDRAVJE RAZVOJNE DOBE IN DRUŽINE DR. MED. LEA ŠINKOVEC, SPECIALISTKA PSIHIATRIJE","ZASEBNA SPECIALISTIČNA AMBULANTA ZA DUŠEVNO ZDRAVJE RAZVOJNE DOBE IN DRUŽINE DR. MED. LEA ŠINKOVEC, SPECIALISTKA PSIHIATRIJE",,"Na Poklonu 7, 5281 Spodnja Idrija",", ZASEBNA SPECIALISTIČNA AMBULANTA ZA DUŠEVNO ZDRAVJE RAZVOJNE DOBE IN DRUŽINE DR. MED. LEA ŠINKOVEC, SPECIALISTKA PSIHIATRIJE"
VODOPIVEC VESNA - SPECIALIST INTERNE MEDICINE,VODOPIVEC VESNA - SPECIALIST INTERNE MEDICINE,,"Cankarjeva ulica 4, 6210 Sežana",", VODOPIVEC VESNA - SPECIALIST INTERNE MEDICINE"
"HELENA SIMONIČ GERZEJ DR.DENT.MED., SPEC. ZOBNE IN ČELJUSTNE ORTOPEDIJE","HELENA SIMONIČ GERZEJ DR.DENT.MED., SPEC. ZOBNE IN ČELJUSTNE ORTOPEDIJE",,"Ulica Antona Bonete 7, 6210 Sežana",", HELENA SIMONIČ GERZEJ DR.DENT.MED., SPEC. ZOBNE IN ČELJUSTNE ORTOPEDIJE"
"STRAŽIŠAR RADIĆ TANJA - PRIVATNA ZOBNA ORDINACIJA, ZOBOZDRAVSTVO ZA ODRASLE","STRAŽIŠAR RADIĆ TANJA - PRIVATNA ZOBNA ORDINACIJA, ZOBOZDRAVSTVO ZA ODRASLE",,"Cesta maršala Tita 78, 4270 Jesenice",", STRAŽIŠAR RADIĆ TANJA - PRIVATNA ZOBNA ORDINACIJA, ZOBOZDRAVSTVO ZA ODRASLE"
JAKELIČ ŽELJKO - DOKTOR STOMATOLOGIJE,JAKELIČ ŽELJKO - DOKTOR STOMATOLOGIJE,,"Cesta maršala Tita 78, 4270 Jesenice",", JAKELIČ ŽELJKO - DOKTOR STOMATOLOGIJE"
PAVLOVIĆ RADE - DOKTOR STOMATOLOGIJE,PAVLOVIĆ RADE - DOKTOR STOMATOLOGIJE,,"Cesta maršala Tita 78, 4270 Jesenice",", PAVLOVIĆ RADE - DOKTOR STOMATOLOGIJE"
ŠKOF FRANC - SPECIALIST ZOBNIH IN USTNIH BOLEZNI IN PARADONTOLOGIJE,ŠKOF FRANC - SPECIALIST ZOBNIH IN USTNIH BOLEZNI IN PARADONTOLOGIJE,,"Jerebova ulica 10, 8000 Novo mesto",", ŠKOF FRANC - SPECIALIST ZOBNIH IN USTNIH BOLEZNI IN PARADONTOLOGIJE"
POZDEREC MILANA - ZASEBNA SPLOŠNA AMBULANTA,POZDEREC MILANA - ZASEBNA SPLOŠNA AMBULANTA,,"Cesta I. slovenskega tabora 2, 9240 Ljutomer",", POZDEREC MILANA - ZASEBNA SPLOŠNA AMBULANTA"
SUNČIČ STANISLAV - ORDINACIJA SPLOŠNE MEDICINE,SUNČIČ STANISLAV - ORDINACIJA SPLOŠNE MEDICINE,,"Tovarniška ulica 18, 8270 Krško",", SUNČIČ STANISLAV - ORDINACIJA SPLOŠNE MEDICINE"
CLEMENZ MARJETKA - NEVROLOŠKA ORDINACIJA,CLEMENZ MARJETKA - NEVROLOŠKA ORDINACIJA,,"Zaloška cesta 167, 1000 Ljubljana",", CLEMENZ MARJETKA - NEVROLOŠKA ORDINACIJA"
KOŠUTIČ DARKO - SPECIALIST INTERNE MEDICINE,KOŠUTIČ DARKO - SPECIALIST INTERNE MEDICINE,,"Celjska cesta 7, 3250 Rogaška Slatina",", KOŠUTIČ DARKO - SPECIALIST INTERNE MEDICINE"
GERIĆ MARTA - ZOBOZDRAVSTVENA AMBULANTA,GERIĆ MARTA - ZOBOZDRAVSTVENA AMBULANTA,,"Vegova ulica 22, 1251 Moravče",", GERIĆ MARTA - ZOBOZDRAVSTVENA AMBULANTA"
FRANGEŽ MARKO - ZASEBNA AMBULANTA SPLOŠNE MEDICINE,FRANGEŽ MARKO - ZASEBNA AMBULANTA SPLOŠNE MEDICINE,,"Mestni trg 2, 1230 Domžale",", FRANGEŽ MARKO - ZASEBNA AMBULANTA SPLOŠNE MEDICINE"
FILIPIČ BOJAN - SPECIALIST PSIHIATRIJE,FILIPIČ BOJAN - SPECIALIST PSIHIATRIJE,,"Vošnjakova ulica 20, 2000 Maribor",", FILIPIČ BOJAN - SPECIALIST PSIHIATRIJE"
JURINEC - VAJDA SONJA - SPECIALIST OFTALMOLOGIJE,JURINEC - VAJDA SONJA - SPECIALIST OFTALMOLOGIJE,,"Žolgarjeva ulica 7, 2000 Maribor",", JURINEC - VAJDA SONJA - SPECIALIST OFTALMOLOGIJE"
AMBULANTA DOKTOR LOVŠE - LOVŠE BOJAN,AMBULANTA DOKTOR LOVŠE - LOVŠE BOJAN,,"Kopitarjeva ulica 2, 2000 Maribor",", AMBULANTA DOKTOR LOVŠE - LOVŠE BOJAN"
TONEJC SAŠO - SPECIALIST ORTOPEDIJE,TONEJC SAŠO - SPECIALIST ORTOPEDIJE,,"Partizanska cesta 49, 2000 Maribor",", TONEJC SAŠO - SPECIALIST ORTOPEDIJE"
"MIKLIČ MITJA - SPECIALIST MEDICINE DELA, PROMETA IN ŠPORTA","MIKLIČ MITJA - SPECIALIST MEDICINE DELA, PROMETA IN ŠPORTA",,"Cesta 6. maja 11, 1360 Vrhnika",", MIKLIČ MITJA - SPECIALIST MEDICINE DELA, PROMETA IN ŠPORTA"
JELEN SOBOČAN BREDA - PSIHIATRIČNA ORDINACIJA,JELEN SOBOČAN BREDA - PSIHIATRIČNA ORDINACIJA,,"Ziherlova ulica 38, 1000 Ljubljana",", JELEN SOBOČAN BREDA - PSIHIATRIČNA ORDINACIJA"
RAKUŠ MIRAN - ORDINACIJA OTORINOLARINGOLOGIJE,RAKUŠ MIRAN - ORDINACIJA OTORINOLARINGOLOGIJE,,"Tbilisijska ulica 59, 1000 Ljubljana",", RAKUŠ MIRAN - ORDINACIJA OTORINOLARINGOLOGIJE"
ROK BOJAN - ORDINACIJA OTORINOLARINGOLOGIJE,ROK BOJAN - ORDINACIJA OTORINOLARINGOLOGIJE,,"Tbilisijska ulica 59, 1000 Ljubljana",", ROK BOJAN - ORDINACIJA OTORINOLARINGOLOGIJE"
SOTOŠEK SILVIJA - PSIHIATRIČNA ORDINACIJA,SOTOŠEK SILVIJA - PSIHIATRIČNA ORDINACIJA,,"Komenskega ulica 32, 1000 Ljubljana",", SOTOŠEK SILVIJA - PSIHIATRIČNA ORDINACIJA"
HODOŠČEK GUSTAV - ZASEBNA INTERNISTIČNA KARDIOLOŠKA AMBULANTA,HODOŠČEK GUSTAV - ZASEBNA INTERNISTIČNA KARDIOLOŠKA AMBULANTA,,"Lendavska ulica 16, 9000 Murska Sobota",", HODOŠČEK GUSTAV - ZASEBNA INTERNISTIČNA KARDIOLOŠKA AMBULANTA"
PRETTNER MLADEN - ZASEBNA AMBULANTA ZA ORTOPEDIJO IN ŠPORTNE POŠKODBE,PRETTNER MLADEN - ZASEBNA AMBULANTA ZA ORTOPEDIJO IN ŠPORTNE POŠKODBE,,"Cvetkova ulica 10, 9000 Murska Sobota",", PRETTNER MLADEN - ZASEBNA AMBULANTA ZA ORTOPEDIJO IN ŠPORTNE POŠKODBE"
DŽUDOVIĆ NADA - DOKTOR STOMATOLOGIJE,DŽUDOVIĆ NADA - DOKTOR STOMATOLOGIJE,,"Stara cesta 10, 4220 Škofja Loka",", DŽUDOVIĆ NADA - DOKTOR STOMATOLOGIJE"
POGAČNIK LEA - LEKARNA PLAVŽ,POGAČNIK LEA - LEKARNA PLAVŽ,,"Cesta maršala Tita 77, 4270 Jesenice",", POGAČNIK LEA - LEKARNA PLAVŽ"
LAVRENČIČ NIKO - ZASEBNA ZOBNA AMBULANTA,LAVRENČIČ NIKO - ZASEBNA ZOBNA AMBULANTA,,"Gregorčičeva ulica 5, 3000 Celje",", LAVRENČIČ NIKO - ZASEBNA ZOBNA AMBULANTA"
OBLAK SAMO - ZOBNA ORDINACIJA,OBLAK SAMO - ZOBNA ORDINACIJA,,"Dunajska cesta 109, 1000 Ljubljana",", OBLAK SAMO - ZOBNA ORDINACIJA"
"BUDISAVLJEVIĆ MILORAD, DR.MED. - INTERNISTIČNO-PULMOLOŠKA SPECIALISTIČNA ORDINACIJA","BUDISAVLJEVIĆ MILORAD, DR.MED. - INTERNISTIČNO-PULMOLOŠKA SPECIALISTIČNA ORDINACIJA",,"Špindlerjeva ulica 1, 2250 Ptuj",", BUDISAVLJEVIĆ MILORAD, DR.MED. - INTERNISTIČNO-PULMOLOŠKA SPECIALISTIČNA ORDINACIJA"
MENART TOMISLAV - ORTOPEDSKA ORDINACIJA,MENART TOMISLAV - ORTOPEDSKA ORDINACIJA,,"Gregorčičeva ulica 27 A, 9000 Murska Sobota",", MENART TOMISLAV - ORTOPEDSKA ORDINACIJA"
NEMEC VLADIMIR - ZASEBNA ZOBNA ORDINACIJA,NEMEC VLADIMIR - ZASEBNA ZOBNA ORDINACIJA,,"Moravci v Slov. goricah 34 B, 9243 Mala Nedelja",", NEMEC VLADIMIR - ZASEBNA ZOBNA ORDINACIJA"
